osm_way_id,building_type,building_classification ,shape_Area,perimeter,CENTROID_X,CENTROID_Y,PNT_COUNT,Building_H,fractal_dimensions ,height_area,volume
146311312,Commercial,Commercial,1356.582037,154.0798166,497899.8703,7667353.937,9,11.02695608,8.804411031,0.008128485,3657945.736
146311316,Multi-Unit Residential,Residential,463.0753946,87.92073276,497883.9326,7667664.46,5,4.894708633,5.266964687,0.010570004,679632.1217
146311319,Commercial,Commercial,1220.566355,149.2393645,497776.4472,7667456.091,8,9.62108326,8.178581829,0.007882475,3323917.021
146311320,Single-Unit Residential,Residential,114.9674997,44.68593221,498288.9431,7667454.058,5,4.161497116,2.572789556,0.036197161,89230.32342
146311322,Commercial,Commercial,668.376512,151.1972789,497518.6855,7667382.902,7,5.13117981,4.420559132,0.00767708,3456463.107
146311323,Commercial,Commercial,1294.343117,149.9730319,497505.351,7667458.392,9,9.642396927,8.63050577,0.007449645,3373179.981
146311324,Commercial,Commercial,293.3360191,68.9845343,497794.3807,7667243.886,5,4.505636215,4.252199744,0.015359983,328288.1529
146311325,Commercial,Commercial,1053.388394,194.4224905,497567.0789,7667537.402,13,11.76038122,5.418037756,0.011164335,7349190.522
146311326,Commercial,Commercial,855.5267151,143.072287,497362.0614,7667414.817,11,19.64313078,5.979681553,0.022960277,2928643.83
146311329,Multi-Unit Residential,Residential,482.0130738,105.350009,497388.1935,7667375.207,5,3.143850327,4.575349145,0.006522334,1169240.181
146311337,Commercial,Commercial,3353.885319,241.1778498,497866.457,7667393.062,12,13.6639843,13.90627424,0.004074076,14028532.96
146311340,Commercial,Commercial,335.3290818,76.40778932,497516.9677,7667349.61,5,7.756011963,4.388676663,0.023129554,446080.1557
146311343,Commercial,Commercial,253.7469489,77.48286541,497857.8632,7667591.45,5,2.85624218,3.274878227,0.011256262,465175.6993
146311344,Commercial,Commercial,2613.338827,220.0895495,497715.0199,7667597.316,17,16.29537392,11.87397963,0.006235462,10661007.88
146311346,Commercial,Commercial,248.4451092,65.30417533,497887.0321,7667621.682,5,2.515032768,3.804429164,0.010123092,278498.4923
146311348,Commercial,Commercial,517.0300438,101.4149662,497861.4378,7667544.321,9,4.962075233,5.09816315,0.009597267,1043052.459
146311780,Commercial,Commercial,1671.172055,175.8416435,497890.8296,7667483.799,7,26.87258387,9.503846877,0.016080082,5437073.488
363833423,Commercial,Commercial,165.3524377,67.56408232,499199.8438,7667143.893,5,4.306200981,2.447342316,0.026042561,308423.632
399994290,Commercial,Commercial,407.3368112,82.96075678,497367.1693,7667321.638,5,1.009565353,4.909993918,0.002478454,570976.3437
399994291,Multi-Unit Residential,Residential,194.4503316,62.02333235,497361.3312,7667803.135,5,3.830924988,3.135115838,0.019701303,238597.17
399994292,Multi-Unit Residential,Residential,208.7886773,63.09840577,497098.2877,7667324.943,9,1.919662476,3.308937441,0.009194284,251220.5487
399994293,Multi-Unit Residential,Residential,573.5820213,117.6888551,497347.4989,7667214.635,5,8.353933334,4.873715706,0.014564496,1630069.094
399994294,Multi-Unit Residential,Residential,189.4096586,62.03166451,497365.1791,7667761.332,5,5.000583649,3.053435049,0.02640089,238693.3417
399994295,Single-Unit Residential,Residential,150.4764623,49.58703427,497366.4508,7667293.402,5,1.15348053,3.034592903,0.007665521,121928.2677
399994296,Single-Unit Residential,Residential,148.8040315,50.03461065,497072.8299,7667297.786,5,5.131526947,2.974021973,0.034485134,125259.7596
399994297,Single-Unit Residential,Residential,152.1224898,49.36450238,497349.3722,7667175.84,5,1.80638504,3.081617001,0.011874543,120294.0898
399994298,Multi-Unit Residential,Residential,389.8111279,107.1683151,497398.8586,7667818.577,5,8.229459763,3.637372927,0.021111403,1230833.216
399994299,Multi-Unit Residential,Residential,365.0299435,103.4388599,497403.4619,7667761.919,5,7.969781876,3.528943994,0.021833228,1106754.193
399994300,Single-Unit Residential,Residential,173.2215231,57.59618278,497369.2186,7667247.309,5,2.702892303,3.007517421,0.015603675,191064.9847
399994301,Single-Unit Residential,Residential,144.1104697,48.3074542,497368.2724,7667138.745,5,4.285299301,2.983193217,0.029736211,112730.7645
