osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
,902464.2765,-322731.0041,994536.0273,8281.053232,2.345426,4910.914958,1713.366578,1392.501461,152,724285.4102,0.728265,1803.321429,1.248022,0.658355713,20.51070023
364044066,902506.0714,-323371.6261,6448.837826,444.457439,1.563277,389.731558,161.434406,92.947311,13,4383.549874,0.679743,163.352165,1.109433,5.398326874,9.376899719
364049927,902107.5792,-323181.7133,9497.554283,426.57438,1.236333,414.888719,151.586045,107.234677,10,6513.863778,0.685846,164.442144,1.337451,7.045780182,10.99453735
514253511,902238.7331,-323231.7741,6558.909933,320.488574,1.117746,320.488574,120.510105,99.79199,6,5800.999526,0.884446,120.213767,1.520361,6.937385559,15.77711868
516610211,902180.9202,-323311.3842,376.853816,79.174324,1.151978,79.174324,27.813655,28.088833,5,314.50223,0.834547,28.830283,1.519577,7.725246429,14.2228241
516610212,902211.7539,-323336.6234,502.653407,92.005025,1.159107,92.005025,32.963192,31.962504,5,410.197777,0.816065,33.333425,1.517887,8.599281311,12.72436905
516610213,902260.3293,-323379.6621,542.999394,95.730274,1.160369,95.730274,34.079498,33.396323,5,440.928288,0.812024,34.882215,1.507581,7.239875793,15.29475784
516610214,902331.9883,-323368.6792,89.458045,37.834633,1.129864,37.834633,13.252073,13.204447,5,81.164849,0.907295,13.34814,1.599094,6.486408234,7.936969757
516610215,902295.6903,-323340.6147,254.508607,64.563359,1.143092,64.563359,22.773053,22.872473,5,219.278004,0.861574,23.043753,1.562367,6.822425842,9.702106476
516610217,902396.2054,-323302.2213,85.941452,37.472457,1.141714,37.472457,13.470849,12.729352,5,74.588709,0.867901,13.44275,1.556318,6.393615723,7.770809174
516610218,902375.3114,-323137.4283,379.426227,80.222891,1.163271,80.222891,28.018939,21.184252,5,305.568615,0.805344,29.155804,1.50773,7.019798279,13.94403839
516610219,902299.1011,-323179.5051,167.293425,52.09081,1.137544,52.09081,14.110766,16.547485,5,147.889418,0.884012,18.533446,1.574956,7.43561554,9.210544586
516610220,902261.6666,-323172.5444,628.369185,119.310095,1.344362,108.45882,40.402878,26.104978,11,457.578992,0.728201,40.884528,1.383673,7.615444183,11.77407455
516610222,902223.8243,-323160.0358,445.99656,95.388148,1.275778,95.388148,37.037001,21.233194,5,288.215905,0.646229,37.103902,1.284491,8.341365814,10.72908401
516610231,902241.7196,-323089.4851,60.072412,32.732742,1.192865,32.732742,7.725303,12.045681,5,45.041763,0.749791,12.38381,1.412434,7.461421967,8.958972931
516610232,902250.3103,-323091.2712,58.944637,32.334547,1.189573,32.334547,7.372975,11.622817,5,44.518013,0.755251,12.107194,1.431079,7.461421967,8.694419861
