osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
419354373,715484.4247,-1527.269612,416.957825,99.324386,1.373904,99.324386,38.772502,29.591384,5,236.748988,0.567801,40.31095,1.143163,21.66182518,27.83373451
419354374,715512.5892,-1557.242119,580.905997,121.128249,1.419512,121.128249,47.520061,35.996177,5,313.327577,0.539377,49.943737,1.089073,19.78574181,25.12379074
419354392,715559.726,-1534.068224,242.875023,67.511032,1.223573,67.511032,25.105925,21.908658,5,171.071058,0.704358,25.511786,1.378592,22.03248215,26.94042206
419354395,715675.3001,-1461.243034,403.73165,96.864892,1.361653,96.864892,38.557736,14.0784,5,232.635874,0.576214,39.13038,1.158824,26.33926392,32.30278397
419358212,715642.5661,-1540.394354,192.177054,55.762894,1.136164,55.762894,14.684383,17.142346,5,170.876648,0.889163,19.774571,1.582081,21.96473122,27.15969849
419358215,715667.5086,-1540.268163,219.534114,59.287609,1.130211,59.287609,15.520948,16.25677,5,199.006922,0.906497,20.922324,1.598182,22.07254219,27.19516182
419358224,715576.2196,-1564.633501,105.888938,44.606027,1.224376,44.606027,12.639905,16.895574,5,74.474023,0.703322,16.862934,1.377137,20.85394478,24.02302551
419358228,715597.1045,-1557.25213,72.15455,34.258549,1.139157,34.258549,11.100609,12.01627,5,63.271144,0.876884,12.184903,1.57324,21.3266449,24.73589516
419358233,715672.6922,-1658.963378,72.148354,34.702862,1.153981,34.702862,12.479565,11.035801,5,59.73758,0.827983,12.497466,1.533827,15.80770493,18.01090813
419358236,715667.6984,-1693.89438,83.763875,36.867778,1.137798,36.867778,12.797895,11.747419,5,73.94818,0.882817,13.098436,1.576863,13.16283417,17.52335548
419358242,715518.1181,-1609.809215,125.729177,45.348737,1.142335,45.348737,16.073597,14.767573,5,108.670855,0.864325,16.170871,1.564839,17.29588509,19.31586838
419358249,715732.6074,-1547.158515,102.250823,40.581445,1.13355,40.581445,11.846545,10.357642,5,91.754337,0.897346,14.367466,1.588321,22.51175499,25.48970985
419358255,715745.7405,-1591.392184,74.4318,34.519053,1.130124,34.519053,8.871154,9.25731,5,67.486487,0.906689,12.178516,1.598711,20.33421135,24.0758419
419358259,715740.9988,-1668.706871,342.425891,96.014922,1.465554,81.064083,27.312547,20.455356,13,257.66746,0.752477,28.688567,1.455658,15.4453125,21.58672142
419358260,715641.4869,-1604.58644,65.807356,32.916608,1.146105,32.916608,11.803128,11.054503,5,56.021044,0.851288,11.7764,1.554568,18.9510994,20.98861694
419358265,715606.7363,-1662.728404,71.642967,34.220907,1.141961,34.220907,12.109713,11.119274,5,62.023029,0.865724,12.197468,1.566037,15.34875298,17.80539703
419358268,715640.9288,-1629.16104,85.086606,36.897891,1.129841,36.897891,10.073199,9.94281,5,77.199917,0.90731,13.020689,1.598754,17.33466911,19.74359894
419358274,715688.1363,-1543.681699,89.4589,38.89161,1.161423,38.89161,7.57061,12.030473,5,72.400302,0.809314,14.085439,1.515397,22.22112274,26.74663162
419358279,715599.0848,-1718.318441,130.793633,47.100677,1.163269,47.100677,15.614983,10.796443,5,105.292303,0.805026,17.082386,1.510879,11.95053864,16.27778625
419358282,715617.916,-1543.244441,204.971015,57.841031,1.141133,57.841031,16.221161,19.11845,5,178.092253,0.868866,20.600885,1.568359,21.84375572,26.13946915
419358284,715779.4048,-1672.007553,211.024545,59.977799,1.166193,59.977799,18.878664,11.551975,5,168.506078,0.798514,21.795267,1.504144,16.09939194,20.28386116
419358291,715540.9614,-1598.043285,84.160494,36.718818,1.130527,36.718818,12.342795,12.595965,5,76.2153,0.905595,12.959172,1.597577,18.01125717,21.16205406
419358294,715564.3126,-1584.156614,92.384103,38.657618,1.136012,38.657618,13.469678,12.618633,5,82.18812,0.889635,13.707047,1.582486,19.76556778,23.34088516
419358302,715675.155,-1634.887677,82.376968,36.617165,1.139537,36.617165,13.035788,12.376541,5,72.101637,0.875265,13.028775,1.572115,16.9837265,19.55709076
419358312,715681.1009,-1608.720033,67.329332,33.638327,1.15792,33.638327,12.183897,11.120695,5,55.061726,0.817797,12.15415,1.523571,19.04954147,21.39025116
419358314,715682.9716,-1587.895891,108.351947,41.741536,1.132652,41.741536,14.703184,14.293249,5,97.508296,0.899922,14.767291,1.590752,20.05618858,22.5418911
419358317,715708.6539,-1668.530873,114.836544,43.274631,1.140617,43.274631,10.548296,13.188759,5,100.009536,0.870886,15.411319,1.569225,15.02025223,18.1099472
419358318,715718.9896,-1616.782875,88.824551,37.828832,1.133712,37.828832,10.622459,9.122543,5,79.666133,0.896893,13.389309,1.588523,18.2599926,22.46892548
419358319,715726.7215,-1588.598499,67.900412,33.120071,1.135276,33.120071,7.541309,9.14056,5,60.570951,0.892056,11.743826,1.583477,20.33989525,22.28234482
419358324,715643.8091,-1652.455044,68.666859,33.835866,1.153321,33.835866,12.212028,11.187802,5,56.979669,0.829799,12.181909,1.535123,15.77536964,18.31803703
419358330,715606.0636,-1616.950065,66.737851,32.92366,1.138331,32.92366,11.6698,11.012344,5,58.761407,0.880481,11.705651,1.574982,18.31378937,20.18037224
419358332,715603.8044,-1639.410649,87.864946,37.866884,1.141033,37.866884,13.460361,12.565224,5,76.379029,0.869278,13.491443,1.567958,16.61876869,19.14138603
419507021,715527.4728,-1707.488143,108.343089,46.223254,1.254314,46.223254,17.706549,13.556987,5,72.395095,0.668202,17.776367,1.321425,11.58791924,14.75437164
419507025,715560.7621,-1682.229218,106.374634,41.623933,1.13991,41.623933,14.800175,13.969022,5,92.943666,0.873739,14.810827,1.571538,14.27535248,17.04194069
419507032,715664.2455,-1500.784522,578.700206,115.2926,1.353696,115.2926,44.962472,13.848141,5,336.652691,0.581739,46.428159,1.169312,24.09713936,29.08603859
