osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
358771711,717447.8739,-1816.260994,425.332417,73.446373,1.005895,73.446373,23.334405,23.337395,20,422.680319,0.993765,23.443966,1.985264,24.217453,31.62255669
358771712,717304.2336,-1645.887759,2433.338453,215.731369,1.23526,215.731369,81.93378,64.178085,5,1678.512439,0.689798,82.077904,1.356313,37.39931488,46.78325653
358771717,717481.3122,-1805.821292,340.116624,65.676635,1.005874,65.676635,20.881865,20.912484,20,337.966277,0.993678,20.962088,1.985475,24.33932304,32.23924637
358771720,716116.6562,-1743.04877,841349.7247,5868.813701,1.807209,5037.836099,2208.874677,753.685697,40,464333.4036,0.551891,2227.645545,0.929239,-0.210410863,51.11618805
358771733,717462.9801,-1638.213108,123449.8915,1808.526136,1.453871,1734.835729,720.191745,461.559513,10,69236.50561,0.560847,733.256838,1.08137,23.91140747,51.98630905
419326802,717458.8279,-1581.160681,549.446028,100.198205,1.20738,100.198205,32.279563,37.184327,5,399.114027,0.726394,37.475395,1.411567,38.76424026,46.96768188
419326829,717490.5566,-1537.573689,215.891662,60.197599,1.157198,60.197599,21.728282,19.163471,5,176.943771,0.819595,21.724042,1.526379,40.36050797,44.13789749
514238454,717224.0557,-1756.284898,1228.041164,140.826978,1.135078,140.826978,49.327106,45.641806,5,1096.717221,0.893062,50.325266,1.571468,28.86466026,36.56128693
514243410,717258.1892,-1824.417418,106.814796,44.375807,1.212766,44.375807,15.845975,11.190962,5,77.014367,0.721008,17.183717,1.357324,26.97089386,29.52658081
514243411,717277.2756,-1875.075354,172.25858,54.163383,1.165633,54.163383,12.865949,18.182491,5,137.833928,0.800157,19.778626,1.497543,23.25302315,25.7627182
514243419,717504.2721,-1810.845971,81.434406,32.136947,1.005882,32.136947,10.255662,10.237335,20,80.928417,0.993787,10.262754,1.984381,24.46175194,29.55022812
514243420,717481.3213,-1832.22372,103.596332,36.247558,1.005896,36.247558,11.511023,11.508797,20,102.940976,0.993674,11.573699,1.984655,24.15541649,26.50956535
514243421,717499.4159,-1830.915758,135.99675,41.53124,1.005905,41.53124,13.16784,13.193893,20,135.141387,0.99371,13.256592,1.98526,24.00431061,27.83600616
514243422,717518.0076,-1828.451397,130.915157,40.747532,1.005895,40.747532,12.933399,12.955448,20,130.088002,0.993682,13.007012,1.985192,23.63656425,28.5667038
514243423,717518.8561,-1809.817157,77.564188,31.363905,1.005879,31.363905,10.004423,9.989301,20,77.082581,0.993791,10.012764,1.985005,24.79006958,28.53667641
514243425,717457.1852,-1835.609446,12506.74041,538.199059,1.359306,493.761326,165.274214,130.637975,10,8721.926724,0.697378,206.776709,1.22055,20.65842056,32.23924637
514243426,717825.316,-1884.240919,64064.99246,1261.914845,1.408206,1261.914845,539.446277,163.364435,6,35895.70723,0.560301,542.254046,1.053398,11.64147186,24.41178322
