osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
146311312,236375.9673,458215.524,1358.082946,154.165029,1.181596,147.32737,44.596852,51.813265,9,1159.061592,0.853454,52.467245,1.585112,15.80198097,27.64067459
146311316,236330.6174,458523.3054,463.591172,87.969683,1.154016,87.969683,29.283676,22.137738,5,383.796205,0.827876,31.669104,1.534323,16.85287857,21.86976051
146311319,236243.3362,458305.5581,1221.919762,149.32208,1.206561,149.32208,42.425538,56.388607,8,889.510048,0.727961,56.263942,1.402091,15.35261822,23.76620102
146311320,236753.9965,458352.1783,115.094977,44.7107,1.177144,44.7107,16.198747,12.276077,5,89.339732,0.776226,16.412462,1.475161,10.60272408,13.28372574
146311322,235993.5425,458208.1908,669.116281,151.280944,1.651885,145.29267,61.574825,18.019949,7,293.772362,0.439045,61.846853,0.943883,8.738389969,17.48657227
146311323,235973.0948,458282.1157,1295.778294,150.056155,1.177429,144.003413,37.312518,43.640665,9,1151.478503,0.888639,51.085521,1.590203,11.43058777,20.90433121
146311324,236281.3417,458095.8956,293.659783,69.022594,1.137668,69.022594,24.465215,23.733083,5,259.692952,0.884333,24.558054,1.574756,12.1724987,18.19167137
146311325,236027.0783,458366.673,1054.558416,194.530435,1.691993,175.298625,73.976878,26.49306,13,531.149701,0.50367,74.104042,0.988959,14.07149506,24.10364532
146311326,235834.509,458225.1114,856.474427,143.151509,1.381609,134.737251,51.96532,26.120613,11,555.779798,0.648916,53.095262,1.243903,5.812362671,19.7977581
146311329,235864.2976,458188.1393,482.546574,105.408294,1.35535,105.408294,41.683954,17.143329,5,280.270605,0.580816,42.848788,1.156954,5.65164566,10.93845749
146311337,236338.9725,458251.322,3357.599092,241.31134,1.176277,231.43421,72.582989,76.557617,12,2851.328209,0.849216,87.502826,1.494436,16.01947784,30.47228241
146311340,235994.9917,458174.8679,335.700029,76.450039,1.178551,76.450039,26.32793,17.202341,5,259.674464,0.773531,28.033046,1.474995,7.846342087,16.85759354
146311343,236311.5814,458448.1089,254.02913,77.525936,1.373889,77.525936,19.737651,31.035433,5,144.372722,0.568331,31.654865,1.136283,16.78309631,21.23019218
146311344,236168.7465,458440.3931,2616.245338,220.211899,1.21604,208.545304,44.978598,74.10856,17,2015.790637,0.77049,79.225439,1.457,15.92380428,25.68398666
146311346,236337.7652,458480.9903,248.721575,65.3405,1.170232,65.3405,14.01746,21.656501,5,196.44814,0.789832,23.818883,1.49424,16.54937744,22.02927399
146311348,236319.6154,458401.5063,517.604415,101.471283,1.259768,93.40748,27.194556,33.679447,9,422.809468,0.816858,33.65052,1.525781,17.76021576,22.75658417
146311780,236354.6358,458344.0138,1673.026204,175.939162,1.214948,167.973666,46.829604,61.50486,7,1385.994953,0.828436,62.787934,1.470145,15.89871311,26.239851
363833423,237690.7287,458129.6968,165.534566,67.601282,1.484079,67.601282,25.545574,21.931511,5,83.567323,0.504833,28.417294,1.021755,13.21067238,19.53230667
399994290,235848.4419,458132.787,407.787132,83.006602,1.161027,83.006602,26.493841,19.284243,5,331.205226,0.812201,30.70227,1.484333,5.763616562,7.935020447
399994291,235796.9195,458611.8237,194.667544,62.057965,1.256311,62.057965,12.145918,23.396834,5,129.663683,0.666078,23.888263,1.318097,12.9574852,17.8865757
399994292,235580.3115,458110.554,209.019509,63.133276,1.233421,58.260212,18.238853,20.576683,9,179.893137,0.860652,20.532439,1.589051,4.095237732,8.002029419
399994293,235839.007,458024.34,574.21466,117.75374,1.387983,117.75374,48.205768,25.065313,5,320.846517,0.558757,48.105472,1.124159,4.559854507,9.812509537
399994294,235804.7205,458570.5512,189.621051,62.06627,1.273089,62.06627,11.841978,23.704977,5,123.053967,0.648947,24.100959,1.289419,12.84428596,18.34708786
399994295,235850.4066,458104.594,150.642716,49.61442,1.141774,49.61442,15.334714,12.193792,5,130.519809,0.86642,17.678943,1.566761,4.758358002,7.45221138
399994296,235557.5326,458081.088,148.968446,50.062245,1.158536,50.062245,17.306143,17.962946,5,121.596353,0.816256,18.089014,1.52271,4.806343079,9.230337143
399994297,235844.5555,457985.877,152.290134,49.391696,1.130484,49.391696,15.132288,15.705118,5,137.942625,0.905788,17.433046,1.597525,4.423610687,7.62125206
399994298,235832.8326,458630.7672,390.246716,107.228175,1.533154,107.228175,15.679125,45.737213,5,188.111678,0.482033,45.644837,0.976704,12.79519844,21.73815727
399994299,235842.7961,458574.7696,365.437345,103.496567,1.529206,103.496567,16.366127,44.116965,5,176.789936,0.483776,44.020373,0.980026,12.32906914,21.00527382
399994300,235857.5389,458058.9469,173.412716,57.62796,1.236059,57.62796,21.036958,10.643171,5,119.4567,0.688858,21.932097,1.355019,4.724292755,8.263822556
399994301,235866.9022,457950.7229,144.269157,48.334044,1.136614,48.334044,14.452212,16.305849,5,128.084528,0.887816,17.275102,1.569102,2.434589386,7.999372482
399994302,235857.9642,458083.629,149.54613,48.985654,1.13143,48.985654,13.931463,12.750832,5,135.092551,0.90335,17.299761,1.595264,5.176702499,9.375677109
399994303,235613.9695,458049.7379,108.622461,41.842307,1.133972,41.842307,13.667282,12.635929,5,97.364893,0.896361,14.86771,1.581979,1.576040268,4.410980225
399994304,235845.0969,457946.4559,313.56334,74.806304,1.193224,74.806304,20.138918,26.938505,5,234.818066,0.74887,28.176696,1.418266,2.87918663,7.999372482
399994305,235844.4145,458286.1275,94.411286,39.19273,1.139305,39.19273,9.558199,11.828065,5,82.725762,0.876227,13.936154,1.573454,9.251970291,17.25289917
399994306,235821.8363,458287.4318,272.595554,66.132808,1.131368,66.132808,18.296982,19.722136,5,246.257225,0.903379,23.355507,1.595347,7.162183762,17.80516815
399994307,235789.8634,458650.0681,247.547637,74.361997,1.334959,74.361997,13.082093,29.50894,5,147.430242,0.595563,29.713415,1.194983,12.66997337,17.78774643
399994308,235651.0667,458076.432,130.891131,46.993406,1.160188,46.993406,17.026642,15.048826,5,106.315471,0.812244,16.997582,1.518983,1.98699379,6.014181137
399994309,235592.531,458131.8533,169.912941,54.282257,1.176227,54.282257,19.790376,18.128047,5,132.171929,0.77788,19.872427,1.480292,4.819303513,7.218467712
399994310,235720.2941,457943.2594,170.477647,52.229295,1.129866,52.229295,17.020458,16.864503,5,154.68904,0.907386,18.427267,1.599035,3.336126328,8.10323143
399994311,235871.3041,458279.3906,52.976268,29.180892,1.132412,29.180892,6.810854,7.798281,5,47.712529,0.90064,10.314908,1.59243,10.78931618,14.44822311
399994312,235394.5878,458110.2457,59.856777,32.237838,1.176944,32.237838,10.815177,6.741996,5,46.478901,0.776502,11.806609,1.478824,5.989952087,8.057369232
399994313,235842.2793,458515.9899,642.931209,154.593412,1.722087,136.524389,40.195721,43.766775,9,351.638978,0.546931,53.979294,1.060084,11.81436539,18.0794735
399996167,234741.3394,456553.8463,114.494374,38.184384,1.007953,38.184384,12.171005,12.225315,17,113.595085,0.992146,12.212183,1.977351,5.299646378,13.41207314
399996168,234773.4024,456572.6374,109.684064,37.367448,1.007786,37.367448,11.902125,11.885724,17,108.860465,0.992491,11.950174,1.977801,6.879043579,9.459064484
399996170,233934.3745,456928.6183,107.955691,42.979977,1.168395,42.979977,13.835844,15.677524,5,85.691961,0.79377,15.645005,1.49876,17.05501938,19.78461075
399996171,233860.9497,456962.3738,65.926187,32.513007,1.131031,32.513007,11.166675,10.861369,5,59.616697,0.904295,11.478312,1.596379,19.98696899,26.65917969
399996172,233734.9363,456919.0611,282.274655,67.655312,1.137398,67.655312,23.966792,22.769161,5,249.685548,0.884548,24.027131,1.578044,21.00705719,27.57645988
399996173,233707.799,456940.5784,371.987235,79.127158,1.158799,79.127158,28.605269,25.085753,5,303.397125,0.815612,28.596038,1.5221,20.49033546,30.14706612
399996174,233626.1542,456415.6693,508.587345,100.357868,1.256942,100.357868,29.785601,38.393207,5,338.417156,0.665406,38.650305,1.316785,10.22942543,25.79579926
399996175,233670.7526,456387.107,1277.771732,143.019562,1.130096,143.019562,49.621526,49.079396,5,1158.630847,0.906759,50.474495,1.598232,9.581531525,24.66761589
399996176,233879.4375,456959.6462,601.014492,101.182801,1.165764,101.182801,34.499258,36.549566,5,480.477826,0.799445,36.763282,1.504919,19.90180969,27.08130264
400015061,236267.5301,458164.1135,253.34698,64.767266,1.149328,64.767266,23.278534,21.477314,5,213.115606,0.8412,23.231554,1.546196,13.97799683,18.07296181
400034558,235821.1434,458091.8691,1062.612787,160.88456,1.394034,160.88456,25.363135,65.479448,5,589.51287,0.554777,65.75557,1.118768,4.588130951,7.440494537
400034559,235695.7818,457958.6205,127.268367,45.385286,1.136322,45.385286,15.09572,15.911722,5,113.259325,0.889925,16.119612,1.579395,3.109062195,9.09649086
