osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
512671495,1470078.022,1112053.293,534.831209,102.43733,1.251112,102.43733,37.543441,15.501612,5,359.46499,0.672109,39.862786,1.30926,2.462931156,7.851340294
512671496,1470032.064,1112052.962,500.653092,101.334502,1.279191,101.334502,37.517011,14.351707,5,321.938197,0.643036,39.481792,1.278959,2.669345856,8.387208939
512671497,1469986.633,1111871.24,142.767271,48.715862,1.151602,48.715862,15.949217,17.518362,5,119.144738,0.834538,17.50408,1.540494,3.293965816,9.157822609
512671501,1470050.73,1111905.801,151.216425,49.447599,1.135775,49.447599,17.48383,16.730065,5,134.645618,0.890417,17.537316,1.582419,2.374807358,6.090967655
512671502,1470064.884,1111928.276,147.481465,49.227927,1.144957,49.227927,17.593415,16.290212,5,126.104969,0.855056,17.592447,1.557857,2.343465805,6.082716942
512857505,1470054.916,1112011.658,120.178046,45.020182,1.159955,45.020182,8.889427,13.91151,5,97.68098,0.812802,16.285138,1.519169,3.014023781,6.11178875
512857506,1470077.788,1112015.996,106.69326,41.894722,1.145611,41.894722,9.648603,12.841565,5,90.999607,0.852909,14.976598,1.556469,3.002331257,5.885383129
512857507,1470114.488,1112011.578,123.132236,44.453005,1.131519,44.453005,15.522547,15.70783,5,111.190466,0.903017,15.705389,1.594492,2.146902084,4.941534042
512857508,1470120.371,1112055.691,129.85515,45.813839,1.135569,45.813839,10.450109,12.974041,5,115.811802,0.891854,16.457225,1.562637,2.525211334,6.599955082
512857509,1470030.311,1112010.785,125.682595,45.785153,1.153542,45.785153,13.277846,15.958604,5,104.216204,0.829202,16.538512,1.52977,3.418395996,6.740158558
512857510,1470034.29,1111971.207,98.727427,40.459969,1.150146,40.459969,8.700216,12.342501,5,82.808647,0.83876,14.525446,1.543741,3.31461668,7.563717365
512857511,1470055.955,1111973.81,87.628222,37.560941,1.133342,37.560941,11.55339,12.442273,5,78.689468,0.897992,13.292087,1.589329,2.630774021,6.279607296
512857512,1470084.882,1111965.265,92.532642,38.60078,1.133431,38.60078,13.541213,12.921448,5,83.082513,0.897872,13.702438,1.58429,2.280676365,6.365194798
512857513,1470102.695,1111987.872,146.566362,49.777625,1.161351,49.777625,18.027184,16.724387,5,118.639437,0.809459,18.02302,1.515914,1.884068966,5.269433975
512857514,1470009.971,1111968.012,143.04662,48.554102,1.146657,48.554102,14.966796,11.179102,5,121.519101,0.849507,17.378755,1.553121,3.238397121,6.718963623
512857515,1470008.596,1112008.024,142.323071,48.945806,1.158842,48.945806,14.116318,17.333395,5,116.064982,0.815504,17.684652,1.522391,3.737096786,6.111158371
512857516,1470034.69,1111929.963,140.681862,48.669183,1.158995,48.669183,16.324074,11.649018,5,114.77567,0.815853,17.718502,1.510696,3.173634052,6.842494488
512857517,1469991.573,1111925.427,92.380353,38.482065,1.130876,38.482065,10.029509,10.802568,5,83.58951,0.904841,13.592958,1.595735,3.483237743,6.148461819
512857519,1470010.943,1111924.467,72.45034,34.38161,1.140913,34.38161,8.502925,10.605363,5,63.012131,0.869729,12.248563,1.568267,3.469613552,6.231095791
512857521,1469962.58,1111924.019,106.982904,41.821046,1.142047,41.821046,10.432883,13.061047,5,92.582722,0.865397,14.908758,1.565672,3.510023594,5.622514725
512857522,1469944.217,1111888.974,164.916287,52.457508,1.153778,52.457508,11.875045,16.679409,5,136.648915,0.828596,18.878378,1.535155,4.612508774,7.310979843
512857523,1469920.203,1111884.209,137.594449,47.819655,1.151469,47.819655,10.950926,15.117582,5,114.891676,0.835002,17.181255,1.540745,4.595098972,7.695240498
512857525,1469995.676,1112051.023,137.916289,47.989641,1.154214,47.989641,10.692424,15.191724,5,114.114945,0.827422,17.281338,1.533612,3.768389702,6.551198006
512857526,1469983.352,1112005.401,143.541131,49.729976,1.172402,49.729976,9.642898,16.068023,5,112.747337,0.785471,18.164198,1.488528,3.81085062,6.764038086
512857527,1469956.599,1112012.47,113.771755,43.029565,1.139452,43.029565,9.817712,12.508771,5,99.623394,0.875643,15.307283,1.572549,3.81085062,8.068124771
512857528,1469931.021,1112002.955,172.100613,54.729741,1.178362,54.729741,13.820109,18.934602,5,133.384262,0.775037,20.438169,1.448553,4.212608814,7.694591999
512857529,1469974.038,1111967.564,207.94173,63.391084,1.241663,58.327694,17.188463,15.983924,9,181.995791,0.875225,20.363935,1.598064,3.739550591,7.988767624
512857530,1469969.832,1112052.857,123.743212,44.867146,1.139237,44.867146,13.244627,15.427167,5,108.61537,0.877748,16.202897,1.549363,4.29793644,6.600482941
512857531,1469945.08,1112059.98,135.090697,46.739753,1.135848,46.739753,13.508096,15.186035,5,120.247663,0.890125,16.576089,1.582398,4.261470795,6.737925053
512857532,1469941.069,1111967.077,239.242853,66.312879,1.210946,61.687094,19.443882,17.989738,9,215.711951,0.901644,21.472851,1.625604,4.647101879,9.195720673
512857533,1469944.272,1111918.715,90.296916,38.402049,1.14147,38.402049,9.380877,11.806994,5,78.339299,0.867574,13.682889,1.56727,4.137994766,5.796658516
512857534,1469908.129,1111932.114,187.810393,57.354552,1.182101,57.354552,20.773412,19.580058,5,144.052398,0.76701,21.084787,1.466816,4.268932819,10.62190342
512857535,1469882.553,1111982.572,328.607183,79.739035,1.24245,76.151751,26.226757,18.578331,7,254.849671,0.775545,28.987432,1.411282,5.539869308,10.58101082
512857536,1469888.355,1112003.597,155.635696,52.776546,1.194903,52.776546,19.018117,12.518116,5,115.992616,0.745283,19.575735,1.438208,5.163255215,9.516181946
512857540,1469995.461,1112099.123,127.777527,45.496233,1.136828,45.496233,13.232963,14.960004,5,113.295846,0.886665,16.147613,1.579807,3.585615635,5.590993404
512857541,1470031.47,1112110.05,130.131578,46.062977,1.140531,46.062977,10.456577,13.477229,5,113.376083,0.871242,16.396298,1.570112,2.84401083,6.316112518
512857542,1470057.259,1112115.856,208.914742,67.60229,1.321062,59.821425,15.869867,20.290697,13,174.287571,0.834252,21.564304,1.512635,2.671588421,6.458850861
512857544,1470078.804,1112093.473,114.73073,42.93542,1.132198,42.93542,11.666678,12.837436,5,103.396212,0.901208,15.178179,1.592595,2.694215298,5.462711811
512857565,1469959.096,1111840.505,147.574426,48.95857,1.138334,48.95857,16.463379,17.353507,5,129.930795,0.880442,17.40125,1.57547,4.050883293,8.248480797
512857566,1469935.048,1111844.843,162.762407,51.414433,1.138294,51.414433,11.395528,14.51215,5,143.341911,0.880682,18.271938,1.575714,4.137944221,7.867847919
