osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
417737593,1309256.961,185854.3215,139.147081,47.974272,1.14873,47.974272,17.223854,16.391548,5,117.30192,0.843007,17.196789,1.548014,2.3947258,5.22236824
417737596,1309271.102,185836.7164,112.280621,43.233424,1.152428,43.233424,15.557601,14.735913,5,93.446066,0.832255,15.545917,1.538229,2.095428467,4.946537018
417737601,1309240.174,185810.7307,140.227709,47.92288,1.143069,47.92288,17.142784,16.411248,5,120.827902,0.861655,17.10021,1.56279,2.380664825,5.834241867
417737616,1309155.174,185864.4271,122.483625,45.077577,1.150451,45.077577,16.20127,15.38577,5,102.62707,0.837884,16.181924,1.543455,2.697444916,5.174465179
417737618,1309168.884,185846.0352,121.593459,44.755737,1.14641,44.755737,16.045455,15.315295,5,103.38785,0.850275,16.0136,1.554001,2.909618378,5.26099205
417737620,1309182.874,185828.3767,132.915381,46.953337,1.150337,46.953337,16.880583,15.994026,5,111.413402,0.838228,16.855169,1.543617,2.154918671,4.985305786
417737622,1309198.557,185807.5886,134.761415,46.986965,1.14325,46.986965,16.808252,16.090672,5,116.030545,0.861007,16.766701,1.562501,2.019050598,4.317079544
417737627,1309224.9,185829.6404,91.316777,38.224555,1.129831,38.224555,13.407915,13.3752,5,82.862111,0.907414,13.486388,1.59906,2.56590271,4.508880615
417737629,1309212.25,185914.4906,123.148625,44.75724,1.139187,44.75724,15.828826,14.816479,5,107.977223,0.876804,15.912982,1.573795,3.530029297,6.803604126
417737631,1309226.801,185894.1947,135.862263,47.049649,1.140127,47.049649,16.787555,16.179322,5,118.588061,0.872855,16.74497,1.570906,3.002418518,7.058986664
417737633,1309241.491,185874.3003,110.163102,42.832542,1.152663,42.832542,15.414691,14.597924,5,91.611834,0.831602,15.40401,1.537692,2.870029449,6.067239761
417737639,1309140.881,185883.0065,166.082007,52.182917,1.143704,52.182917,18.672055,17.864892,5,142.730539,0.859398,18.626479,1.561405,3.107036591,5.50869751
417737651,1309169.472,185902.8254,127.543843,45.837803,1.146411,45.837803,16.376967,15.007463,5,108.439255,0.850212,16.397443,1.554314,3.552032471,5.703304291
417737653,1309182.635,185885.3555,109.575615,42.321762,1.141966,42.321762,15.121189,14.533638,5,94.859656,0.8657,15.083531,1.56617,3.457519531,5.544309616
417737655,1309195.099,185867.5925,65.099429,32.410841,1.134614,32.410841,11.496472,11.214645,5,58.209384,0.894161,11.478286,1.586341,3.378688812,5.27699852
417737657,1309209.004,185848.7385,82.135623,36.399642,1.13443,36.399642,12.910848,12.595451,5,73.488988,0.894727,12.890862,1.586605,2.672386169,4.521299362
417900481,1309244.404,185749.1937,255.530576,67.660221,1.195524,67.660221,23.518373,24.269179,5,190.188681,0.744289,25.104874,1.436972,2.895996094,6.292510986
417900497,1309210.959,185767.1422,107.869807,42.603267,1.158616,42.603267,15.105356,12.336322,5,88.028336,0.816061,15.396745,1.52232,1.518486023,6.332799911
417900498,1309219.291,185783.5838,50.419827,28.459996,1.132089,28.459996,9.867695,9.525898,5,45.453951,0.901509,10.05736,1.593315,2.800579071,5.491800308
417900511,1309293.786,185803.2929,190.81264,56.543531,1.156181,56.543531,20.391363,19.227257,5,156.887078,0.822205,20.395654,1.528449,1.72114563,5.234354019
473570817,1308868.322,185953.3136,383781.0298,4762.723131,2.171501,2926.521201,910.970791,998.483159,44,265305.9294,0.691295,1132.629095,1.234352,0.347732544,16.95069885
