osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
511847041,610146.9404,465333.7145,17516.42126,534.901304,1.141556,506.379586,170.660161,162.707493,36,15192.70403,0.867341,178.379995,1.674409,23.85219574,25.77708626
511847047,610058.5848,465228.7884,8767.985628,385.56632,1.163043,385.56632,132.132682,99.506667,5,7063.9299,0.80565,140.575952,1.503225,24.6237793,31.08062935
512147371,610027.2113,465252.3813,146.313483,43.077851,1.005908,43.077851,13.712193,13.72194,20,145.397859,0.993742,13.749862,1.985313,25.49062729,27.53444862
512147372,610047.8774,465246.7424,138.97385,41.982066,1.005874,41.982066,13.359954,13.368539,20,138.0995,0.993709,13.397762,1.985726,25.30112457,28.33423805
512147373,610071.1362,465239.165,232.63468,54.316796,1.005873,54.316796,17.306125,17.268421,20,231.188031,0.993781,17.33318,1.985839,25.20943451,29.46772575
512147374,610096.5062,465233.6231,222.458813,53.117391,1.005908,53.117391,16.830807,16.872254,20,221.068633,0.993751,16.949999,1.985821,25.25654793,31.08062935
512147375,610039.3112,465224.5687,42.215858,32.21612,1.400496,32.21612,13.182971,5.720689,5,23.25272,0.550805,13.220979,1.109071,25.42564774,27.97780609
512147376,610037.2043,465219.831,35.810265,27.61325,1.303347,27.61325,10.815877,5.369351,5,22.244122,0.621166,10.881876,1.241038,25.81378555,27.97780609
512147377,610036.1387,465214.5952,34.122199,26.637945,1.288038,26.637945,10.33882,5.267877,5,21.659822,0.634772,10.424621,1.264571,25.92641068,27.97780609
512147378,610034.8542,465209.7954,34.937408,26.675542,1.274719,26.675542,10.252983,5.312721,5,22.617066,0.64736,10.370733,1.286237,25.43933678,27.89706993
512147379,610022.9587,465222.7482,32.076715,26.348036,1.314013,26.348036,10.398502,5.18266,5,19.636432,0.612171,10.433121,1.225084,25.86498833,27.97780609
512147380,610021.9438,465217.4445,33.328764,26.328399,1.288135,26.328399,10.187112,5.05249,5,21.153538,0.634693,10.301276,1.264747,25.80727196,27.97780609
512147381,610020.9593,465212.8753,32.811697,26.825785,1.322771,26.825785,10.638401,5.227993,5,19.853537,0.605075,10.665276,1.212069,25.3734169,27.86286163
