osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
507916943,1108361.337,737198.039,1026.208193,134.957164,1.189939,130.415486,39.356472,32.371755,7,886.028122,0.8634,47.772857,1.513288,9.959574699,17.21027946
507916951,1108514.968,737235.623,784.621861,117.640718,1.186244,117.640718,41.726034,26.437727,5,596.29094,0.759972,43.81785,1.442661,4.097068787,15.39784622
508016493,1108416.606,737070.0189,84.517479,37.122344,1.140535,37.122344,8.580966,10.968606,5,73.633114,0.871218,13.219065,1.569487,8.71150589,11.01580048
508016494,1108403.914,737106.7643,210.567273,59.031919,1.149047,59.031919,13.74216,18.546044,5,177.315325,0.842084,21.171049,1.546814,8.674198151,13.44145012
508016495,1108406.924,737132.2929,166.561812,54.469207,1.192092,52.236369,14.257666,14.457371,7,147.195028,0.883726,19.196767,1.517206,8.58152771,12.49461365
508016496,1108410.763,737158.1745,202.583173,57.085712,1.132849,57.085712,14.496139,16.385484,5,182.19556,0.899362,20.193668,1.590639,8.549886703,11.42366982
508016497,1108411.083,737180.5148,132.586741,46.931696,1.151231,46.931696,14.353225,10.021811,5,110.791434,0.835615,16.858111,1.541438,8.682358742,12.28649521
508016498,1108412.182,737210.8241,126.979011,45.094612,1.13033,45.094612,11.909581,11.987665,5,115.138611,0.906753,16.179842,1.571726,8.599568367,11.24581146
508016499,1108409.318,737233.4942,117.748202,43.490461,1.132044,43.490461,11.243331,12.463824,5,106.167485,0.901648,15.372958,1.59296,9.19778347,11.22496414
508016500,1108470.422,737243.1564,64.306853,32.279801,1.136969,32.279801,7.190887,9.163745,5,57.033806,0.886901,11.600016,1.56011,6.424640656,9.367430687
508016945,1108477.712,737282.5298,98.546549,41.558596,1.18246,41.558596,14.831076,10.350015,5,75.516961,0.766308,15.286886,1.465503,4.852323532,10.84768486
508016946,1108502.563,737283.61,180.447502,60.85507,1.279581,60.85507,23.762612,14.559802,5,115.963177,0.642642,23.715547,1.278284,4.555797577,10.84768486
508016949,1108491.413,737186.9266,691.002366,154.058339,1.655358,116.277261,34.341181,33.289972,9,508.524959,0.735924,44.064456,1.346283,5.337928772,11.90913582
508016950,1108524.193,737113.0251,2322.576456,278.413084,1.63174,241.878024,54.483155,100.111089,13,1411.03022,0.607528,100.510705,1.082076,2.933052063,13.07435799
508016951,1108542.086,737178.2328,211.186911,61.027229,1.186142,61.027229,17.007683,22.827578,5,160.676961,0.760828,22.896608,1.432344,3.742547989,6.995155334
508016952,1108559.643,737084.3126,192.255023,58.197874,1.185536,55.844661,19.552063,17.109917,7,170.139886,0.88497,20.592152,1.519575,2.318321228,4.684820175
508028354,1108450.65,737207.5973,159.573097,53.822646,1.20346,52.224419,10.883862,17.364434,7,127.833439,0.801096,19.652065,1.45063,7.579785347,10.16000462
508028355,1108461.382,737182.4122,191.393981,65.515884,1.337608,57.16094,17.052949,16.306163,11,160.74247,0.839851,20.615448,1.514455,7.704842567,11.84467888
508028356,1108465.441,737195.599,41.972757,26.443226,1.152861,26.443226,6.281467,8.54671,5,34.881301,0.831046,9.508804,1.537598,7.981521606,11.75758648
508028357,1108458.839,737150.7598,124.595651,45.217374,1.144196,45.217374,10.49526,13.778939,5,106.864477,0.85769,16.147767,1.559998,7.611857414,10.18480587
508028358,1108453.537,737097.3046,204.820191,68.06897,1.343412,59.039046,15.125931,18.939414,11,172.392302,0.841676,22.535156,1.433213,7.430517197,9.274194717
508028359,1108486.488,737123.2788,68.600351,34.246888,1.167897,34.246888,9.25965,12.125055,5,54.522795,0.794789,12.465707,1.499448,5.772766113,8.521854401
508028360,1108483.341,737109.2215,92.669645,39.227748,1.150989,39.227748,10.480533,13.228238,5,77.505334,0.836362,14.084649,1.542438,6.356813431,8.712741852
508028361,1108471.312,737090.8622,144.772234,50.976095,1.196659,50.976095,12.010591,18.382373,5,107.49352,0.742501,18.936187,1.433954,6.356813431,9.274194717
508028362,1108449.278,737074.4451,102.885287,41.005221,1.14185,41.005221,12.802822,10.236126,5,89.113109,0.86614,14.622327,1.565472,7.179096222,9.392653465
508186899,1108453.113,737024.2208,611.593601,111.226237,1.270347,98.40212,28.569578,29.66731,13,553.602346,0.90518,34.175694,1.633049,7.082017899,15.35079765
