osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
514780784,-173257.7461,308473.0415,7262.52037,337.100691,1.117281,337.100691,121.956041,112.305371,6,6402.857951,0.88163,122.871752,1.565225,20.8909359,26.35670662
514780786,-173127.615,308545.3349,52816.43374,1137.66735,1.398225,1018.302132,353.97785,314.972233,13,39564.26292,0.74909,409.847927,1.265455,13.2186451,34.16889191
514805768,-173283.9124,308468.7088,346.806924,66.319644,1.005877,66.319644,21.163552,21.092588,20,344.649575,0.993779,21.164176,1.985764,20.8909359,24.19089317
514805769,-173244.921,308461.316,124.843966,39.790937,1.005882,39.790937,12.712508,12.641986,20,124.063137,0.993746,12.699167,1.985608,22.33415794,25.09434128
514805770,-173233.4293,308493.5881,105.01709,36.494475,1.005874,36.494475,11.633875,11.609755,20,104.362259,0.993765,11.645022,1.985979,22.54727554,26.35670662
514805771,-173219.8984,308484.7047,63.954032,28.479909,1.005891,28.479909,9.061687,9.089672,20,63.548821,0.993664,9.090252,1.985378,22.5320549,26.35670662
514805772,-173230.7928,308474.3635,88.217373,33.448326,1.005874,33.448326,10.663631,10.632142,20,87.667948,0.993772,10.675644,1.985491,22.44664383,26.35670662
514814567,-173252.0233,308609.2375,257.281216,64.557314,1.13681,64.557314,22.823526,22.825037,5,228.133277,0.886708,22.91481,1.579693,16.68151093,21.1115303
514814568,-173169.7902,308622.763,296.939597,69.447937,1.138339,69.447937,22.663685,24.37338,5,261.440336,0.88045,24.680436,1.575674,21.10374641,26.52588844
514814569,-173120.9107,308539.1712,291.778361,68.732235,1.136529,68.732235,22.291967,23.914871,5,259.03577,0.887783,24.387766,1.580664,23.71891022,30.84437561
514814570,-173212.5928,308579.6326,250.410924,70.95086,1.266419,68.930826,25.769712,22.831866,7,178.607447,0.713257,26.71508,1.336765,20.13382339,24.86166382
514814571,-173214.5742,308620.5354,71.611185,34.208724,1.141807,34.208724,12.200844,11.901596,5,62.037104,0.866305,12.190968,1.566525,19.30688858,21.84772873
514814572,-173087.0573,308551.056,198.53754,74.774038,1.498911,69.992686,27.905731,18.724696,7,108.954963,0.548788,28.089832,1.132028,24.31260681,27.91499329
514814582,-173176.044,308568.3661,48.944812,29.430942,1.188221,29.430942,9.843655,10.552334,5,37.083171,0.757653,11.118046,1.420071,22.77263451,24.2651825
514814583,-173135.9096,308543.5432,127.802144,46.280016,1.156301,46.280016,14.535484,16.640209,5,105.03989,0.821895,16.692937,1.528345,23.4907093,30.84437561
