osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
"422205377",1869581.37056397,816528.493809921,92237.364088,2298.483057,2.137639,2157.648503,435.265169,952.904283,17.000000,38418.354727,0.416516,1008.639510,0.679520,"4.015660285949707","29.01211929321289"
"516426702",1869727.23701922,816604.154152348,312.239898,84.839035,1.356119,77.391899,21.911177,29.768980,11.000000,221.417224,0.709125,30.105864,1.324580,"25.24823570251465","29.93001937866211"
"516426703",1869727.92051429,816572.789779065,18.904419,17.811012,1.157053,17.759036,5.623510,5.235114,6.000000,16.226198,0.858328,6.623803,1.481356,"26.27908706665039","27.94465446472168"
"516426704",1869742.26305689,816577.922370034,34.055579,23.831676,1.153472,23.831676,5.790152,7.444327,5.000000,28.374976,0.833196,8.789167,1.498413,"26.9403076171875","29.756895065307617"
"516426705",1869734.13160722,816575.228760325,26.444291,20.872135,1.146429,20.872135,6.896232,5.535035,5.000000,22.483091,0.850206,7.472665,1.553015,"26.418800354003906","28.906112670898438"
"516426706",1869761.5112541,816625.501485156,234.817497,66.166454,1.219605,63.142476,23.409531,18.263976,7.000000,194.179017,0.826936,23.568987,1.467268,"25.761014938354492","33.52662658691406"
"516426707",1869754.80509092,816602.729110572,31.501631,23.022206,1.158582,23.022206,8.264846,7.010519,5.000000,25.710220,0.816155,8.319757,1.522443,"26.749902725219727","30.371028900146484"
"516426708",1869783.67875017,816614.752466253,190.059787,55.201032,1.130963,55.201032,18.929051,18.404225,5.000000,171.908027,0.904494,19.492519,1.596108,"27.81488037109375","35.150577545166016"
"516426709",1869786.96966445,816588.145747538,240.566839,63.891182,1.163508,63.891182,19.031110,22.981486,5.000000,193.527461,0.804464,23.175516,1.510336,"28.339641571044922","35.98374938964844"
"516426710",1869806.80858638,816605.193010418,187.813741,65.986019,1.359987,63.774814,17.263597,24.747846,7.000000,118.237635,0.629547,25.654369,1.205556,"30.375139236450195","36.23733139038086"
"516426711",1869805.29425299,816649.274085423,355.397909,79.411628,1.189798,79.411625,22.148854,29.225323,7.000000,267.874190,0.753730,29.357965,1.449161,"26.105464935302734","34.424434661865234"
"516426712",1869799.7804819,816659.810435901,26.666690,21.050101,1.151373,21.050101,6.081186,7.636558,5.000000,22.373499,0.839005,7.804395,1.493243,"26.30037498474121","31.157732009887695"
"516426713",1869818.82928443,816649.76740536,80.662006,38.009368,1.195371,38.009368,10.300370,14.025611,5.000000,60.052819,0.744499,14.104957,1.436970,"27.127193450927734","34.424434661865234"
"516426714",1869774.18732187,816666.37310953,702.883588,112.774947,1.201482,112.774947,31.515466,41.997802,5.000000,516.662651,0.735061,42.025063,1.423700,"25.43065071105957","31.63211441040039"
"516426715",1869786.9210898,816700.687977227,242.815449,68.905802,1.249005,65.636614,22.803133,18.540667,7.000000,188.292124,0.775454,24.894814,1.412584,"24.375259399414062","29.8154239654541"
"516426716",1869811.41199084,816700.006327635,62.173808,36.301433,1.300369,34.095042,9.362022,11.803134,7.000000,46.845326,0.753458,13.151262,1.353073,"24.98565101623535","27.274019241333008"
"516426717",1869815.31141448,816738.321663885,412.202898,87.549479,1.217992,87.549479,32.616681,21.080972,5.000000,293.357939,0.711683,32.973693,1.389546,"24.382617950439453","30.123445510864258"
"516426718",1869748.67022204,816701.204083953,917.235482,129.237141,1.205295,129.237141,35.901500,48.264656,5.000000,669.013485,0.729380,48.280526,1.415642,"24.039608001708984","31.413734436035156"
"516426719",1869729.55037771,816671.045047671,195.262919,55.936643,1.130662,55.936643,17.866610,18.456389,5.000000,176.764243,0.905263,19.750421,1.596683,"24.870601654052734","29.83709144592285"
"516426725",1869770.93717046,816670.371410494,27897.728591,693.373256,1.172544,679.321197,175.583805,259.074582,9.000000,22670.751595,0.812638,261.501432,1.441436,"22.33475685119629","36.23733139038086"
"516428204",1869672.48118001,816570.963269705,7152.319830,340.693244,1.137854,340.693244,88.224015,123.805731,6.000000,5832.373861,0.815452,126.781728,1.505400,"23.74618911743164","27.097190856933594"
