osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
"494468401",1055682.79080193,1130977.96291821,90.248880,41.876682,1.245082,37.977339,13.123019,11.640846,11.000000,80.102449,0.887573,13.493736,1.588817,"30.955646514892578","34.4611930847168"
"494468402",1055639.97681964,1130970.6625692,90.271251,41.880702,1.245047,37.982585,13.125901,11.640882,11.000000,80.119064,0.887537,13.496856,1.588646,"29.025148391723633","31.98447608947754"
"494468403",1055631.6374279,1130951.36059301,90.251148,41.881360,1.245205,37.981316,13.123096,11.650648,11.000000,80.098354,0.887505,13.493721,1.588838,"30.778900146484375","34.30801773071289"
"494468404",1055622.72150351,1130931.34673336,90.294336,41.897273,1.245380,37.989567,13.126089,11.650676,11.000000,80.128539,0.887415,13.497006,1.588832,"31.096471786499023","35.05487060546875"
"509651943",1055590.71493794,1130981.37395468,148.980365,49.716188,1.150482,49.716188,15.502684,17.066853,5.000000,125.228893,0.840573,18.271539,1.507559,"29.552478790283203","33.094512939453125"
"509651944",1055611.44232406,1130973.48410637,150.319792,49.967406,1.151132,49.967406,14.790642,17.521672,5.000000,125.648382,0.835874,17.945478,1.541836,"29.668472290039062","33.094512939453125"
"509651947",1055582.53386647,1131014.05178814,144.108782,48.733680,1.146649,48.733680,14.699653,16.773113,5.000000,122.658539,0.851152,17.579382,1.541085,"28.15459442138672","32.19608688354492"
"509651948",1055602.53375292,1131006.99681374,146.339321,48.822306,1.139946,48.822306,15.146331,16.605696,5.000000,127.908694,0.874056,17.544624,1.556043,"28.69305419921875","32.19608688354492"
"509651949",1055621.56061892,1130999.79034761,153.272491,50.264607,1.146771,50.264607,15.319876,17.176656,5.000000,130.316964,0.850231,18.285594,1.527946,"28.2720947265625","31.686279296875"
"509651950",1055648.52793847,1130993.40252936,84.786136,39.731200,1.218753,38.042797,10.813839,13.430299,7.000000,71.056181,0.838064,14.046595,1.479369,"28.076519012451172","31.497350692749023"
"509651956",1055615.82540883,1131044.34647693,97.473506,40.287514,1.152587,40.287514,14.296967,12.246220,5.000000,81.082776,0.831844,14.485346,1.538153,"26.747365951538086","28.680953979492188"
"509651957",1055637.7583959,1131034.70294691,90.836030,38.772670,1.149061,38.772670,13.696437,11.909889,5.000000,76.487459,0.842039,13.899169,1.547481,"25.17789077758789","28.776235580444336"
"509651958",1055658.52827082,1131025.68258805,90.873095,38.710689,1.146990,38.710689,13.652250,11.779306,5.000000,77.147968,0.848964,13.922188,1.545237,"26.728351593017578","29.593616485595703"
"509651959",1055683.45476564,1131043.75005771,46.222964,30.471457,1.265933,28.646425,8.944786,8.605488,7.000000,37.713278,0.815899,10.973585,1.398188,"23.359676361083984","28.275230407714844"
"509651960",1055697.29283289,1131008.61521804,92.080930,38.405836,1.130469,38.405836,12.527362,12.578270,5.000000,83.439159,0.906150,13.678177,1.583222,"27.890886306762695","32.534202575683594"
"509651961",1055718.37576362,1130998.65341517,127.701902,45.454897,1.136131,45.454897,14.637695,15.742849,5.000000,113.546233,0.889151,16.118651,1.582177,"30.1456241607666","36.57854080200195"
"509651962",1055735.6521649,1130991.25206867,126.589155,45.272437,1.136533,45.272437,13.932881,15.334785,5.000000,112.397449,0.887892,16.062912,1.580735,"32.23283767700195","37.22975540161133"
"509651963",1055714.46349955,1130966.91544046,103.896268,44.487668,1.232781,42.160388,11.936091,14.970817,7.000000,87.129919,0.838624,15.696898,1.465451,"32.63312911987305","36.551937103271484"
"509651964",1055707.11646426,1130943.94725092,159.825104,51.253240,1.145105,51.253240,17.765184,15.822712,5.000000,136.805297,0.855969,18.437451,1.547415,"34.09030532836914","38.640953063964844"
"509651965",1055675.6775062,1130958.05035903,97.530853,41.987389,1.200865,40.395823,11.750600,13.792271,7.000000,85.061257,0.872147,14.955599,1.490226,"31.152555465698242","35.17734146118164"
"509651966",1055696.97627351,1130926.77819478,80.448880,41.125560,1.295085,38.254972,10.281688,14.401375,9.000000,63.285697,0.786657,14.836790,1.364285,"35.46678161621094","40.95092010498047"
"509651967",1055666.69116781,1130937.06307564,96.372011,43.626055,1.255212,41.425273,11.634710,14.820942,7.000000,78.625384,0.815853,15.544585,1.425218,"32.528724670410156","36.81344985961914"
"509651971",1055614.54466595,1130912.35326568,76.807538,35.517160,1.144676,35.517160,12.352418,10.768311,5.000000,65.748483,0.856016,12.690669,1.558484,"33.07931900024414","35.88248062133789"
"509651972",1055656.49303,1130917.25811435,89.601055,38.205781,1.140037,38.205781,13.255785,12.173173,5.000000,78.499737,0.876103,13.643448,1.565732,"34.489986419677734","39.1838493347168"
"509651973",1055640.30556527,1130876.41227933,120.600281,49.166707,1.264572,46.552937,17.860757,12.921486,7.000000,96.217006,0.797817,17.923236,1.382747,"35.88984680175781","40.31542205810547"
"509651974",1055648.98512297,1130898.43369426,97.539988,45.933975,1.313679,41.567690,11.235778,15.161000,9.000000,77.133857,0.790792,16.216521,1.374418,"35.156494140625","39.686065673828125"
