PREDICTED,ACTUAL,STATUS
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Industrial,Industrial,Correct
Residential,Residential,Correct
Commercial,Residential,Incorrect
Residential,Residential,Correct
Residential,Commercial,Incorrect
Residential,Residential,Correct
Commercial,Residential,Incorrect
Residential,Commercial,Incorrect
Residential,Residential,Correct
Industrial,Commercial,Incorrect
Residential,Residential,Correct
Residential,Commercial,Incorrect
Residential,Residential,Correct
Commercial,Residential,Incorrect
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Commercial,Commercial,Correct
Residential,Residential,Correct
Industrial,Residential,Incorrect
Commercial,Residential,Incorrect
Residential,Residential,Correct
Residential,Residential,Correct
Commercial,Residential,Incorrect
Industrial,Industrial,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Commercial,Commercial,Correct
Residential,Residential,Correct
Industrial,Commercial,Incorrect
Industrial,Residential,Incorrect
Industrial,Industrial,Correct
Industrial,Industrial,Correct
Residential,Commercial,Incorrect
Industrial,Residential,Incorrect
Commercial,Residential,Incorrect
Residential,Residential,Correct
Industrial,Residential,Incorrect
Industrial,Commercial,Incorrect
Industrial,Residential,Incorrect
Residential,Residential,Correct
Residential,Residential,Correct
Commercial,Residential,Incorrect
Residential,Residential,Correct
Industrial,Industrial,Correct
Commercial,Residential,Incorrect
Industrial,Residential,Incorrect
Residential,Residential,Correct
Industrial,Commercial,Incorrect
Industrial,Industrial,Correct
Industrial,Residential,Incorrect
Industrial,Residential,Incorrect
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Industrial,Residential,Incorrect
Residential,Residential,Correct
Residential,Residential,Correct
Industrial,Residential,Incorrect
Industrial,Residential,Incorrect
Industrial,Residential,Incorrect
Commercial,Commercial,Correct
Commercial,Residential,Incorrect
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Industrial,Commercial,Incorrect
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Residential,Residential,Correct
Industrial,Industrial,Correct
Industrial,Residential,Incorrect
Residential,Residential,Correct
Commercial,Commercial,Correct
Residential,Commercial,Incorrect
Industrial,Residential,Incorrect
Commercial,Commercial,Correct
Residential,Residential,Correct
Residential,Residential,Correct
