osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
423130295,902517.615,-322631.6736,26378.92556,654.460435,1.138155,654.367332,209.947853,208.77785,6,23714.1971,0.898983,237.586221,1.542739,4.955963135,20.51070023
423137383,902560.4951,-322617.1989,3190.200703,276.590328,1.383166,252.669195,71.695321,89.277202,9,2261.090751,0.708761,94.806936,1.344479,5.038917542,17.4747448
423137385,902475.5616,-322670.7011,3594.423879,252.67832,1.190419,240.200856,79.38849,71.204538,9,3154.063273,0.877488,85.466237,1.583088,7.195201874,20.51070023
423200136,902493.6713,-322562.5571,2248.733273,180.907082,1.077539,176.992576,57.72622,56.339927,11,2163.153414,0.961943,60.031628,1.782682,5.011798859,17.52757072
423200426,902652.2188,-322595.1729,125.906832,45.614011,1.148207,45.614011,13.63943,15.318576,5,106.703769,0.847482,16.741183,1.512598,6.885879517,9.51492691
516485457,902432.9547,-322615.1543,481.437643,93.428233,1.202692,93.428233,34.312277,23.425421,5,353.428388,0.73411,34.890274,1.419223,7.39597702,12.95245361
516485458,902440.0722,-322575.275,522.425856,96.548709,1.19311,96.548709,24.512474,34.862966,5,391.074825,0.748575,36.005363,1.432617,7.945426941,11.26502228
516485459,902487.7155,-322615.7132,250.497043,63.324549,1.130101,63.324549,19.816022,20.243948,5,227.137227,0.906746,22.350623,1.598073,8.386207581,13.30883026
516485460,902583.2814,-322531.0337,423.915186,86.201741,1.182559,82.438176,23.958805,25.879808,9,385.591874,0.909597,29.216908,1.590341,7.781471252,13.05869293
516485461,902610.9443,-322538.6359,808.431843,114.57737,1.138213,114.57737,38.630779,33.198284,6,695.749392,0.860616,40.935459,1.567498,7.697273254,13.62926483
516485462,902628.5533,-322508.4619,175.320305,53.764757,1.146906,53.764757,15.290702,18.145627,5,148.859861,0.849074,19.372297,1.542482,6.849384308,11.35006332
516487209,902496.0681,-322499.1213,413.635344,89.693731,1.245661,89.693731,21.928812,34.616285,5,280.539538,0.678229,34.626708,1.325509,7.339076996,9.634048462
516487210,902526.4387,-322505.1942,540.364,93.394984,1.134819,93.394984,30.596757,28.379628,5,483.045596,0.893926,33.360163,1.572534,7.20274353,16.27046776
516487213,902588.9862,-322497.4219,182.970508,58.358013,1.218587,58.358013,13.942662,21.722533,5,130.071838,0.71089,21.979004,1.388889,6.886825562,11.03157806
516487240,902447.8533,-322527.833,403.9746,83.047613,1.167069,83.047613,29.349636,22.962896,5,321.89182,0.796812,30.347613,1.494643,5.39535141,12.69709015
516487250,902418.3401,-322540.0963,163.908456,51.282797,1.131403,51.282797,15.61481,16.458966,5,148.14554,0.903831,18.115198,1.594934,8.104614258,9.432605743
516487251,902408.2835,-322561.8529,61.227281,33.808192,1.220382,33.808192,8.164364,12.810073,5,43.448577,0.709628,12.912276,1.367586,7.987365723,9.985923767
516658558,902630.0864,-322587.9632,146.795925,51.507216,1.200764,49.111636,14.273978,16.345639,7,128.695468,0.876696,18.190995,1.503092,7.123210907,9.016704559
