osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
516701539,902919.8381,-322604.5268,127.941455,50.574412,1.262908,47.540219,12.791445,17.273854,7,104.800506,0.819129,18.110913,1.409452,7.559288025,9.546047211
516701540,902917.8648,-322625.741,98.494863,43.995078,1.252114,41.915434,10.918324,14.835461,7,78.528452,0.797285,15.756694,1.421434,7.649711609,11.83017349
516701548,902838.4494,-322625.7635,89.157299,40.951717,1.225011,39.148199,13.313238,10.767196,7,75.148263,0.842873,14.461119,1.473539,7.404556274,9.297374725
516701549,902861.7601,-322633.501,92.470971,42.126892,1.23738,40.146576,13.860204,10.680881,7,76.087562,0.822826,14.911395,1.455357,7.685157776,9.285545349
516701550,902886.4703,-322642.2408,129.053489,53.306228,1.325377,48.367156,16.76876,12.906824,9,101.055387,0.78305,17.757406,1.443745,7.325157166,9.439777374
516701551,902908.6022,-322649.2142,96.109812,42.830952,1.234015,40.712514,13.981728,10.915961,7,79.811353,0.830418,15.141922,1.461127,7.286621094,9.27072525
516701556,902948.7315,-322644.3751,141.298683,53.677301,1.275464,49.558859,16.257846,15.336238,9,115.388197,0.816626,18.975152,1.413738,7.411045074,13.27782822
516701558,902937.1608,-322660.3773,71.355063,45.631142,1.525792,39.995695,12.727139,12.980856,9,42.04124,0.589184,16.158998,1.179731,7.567932129,10.02988434
516705117,902756.7038,-322662.2278,25.537671,20.230671,1.130749,20.230671,6.942705,6.770633,5,23.112289,0.905027,7.143712,1.596437,7.175643921,8.482200623
516705118,902779.4122,-322654.3811,112.231674,43.516983,1.160239,43.516983,15.42638,12.437785,5,91.145744,0.812121,15.748519,1.518109,7.596431732,9.13274765
516705119,902799.4165,-322665.2073,176.306042,53.119237,1.129964,53.119237,17.253041,17.463141,5,159.925762,0.907092,18.748422,1.598284,7.518604279,10.47213745
516705120,902822.1237,-322672.9986,93.641626,39.035144,1.139378,39.035144,13.525065,12.228988,5,82.023225,0.875927,13.887015,1.572572,7.178535461,10.00345993
516705121,902828.6771,-322653.4041,111.104032,44.598834,1.195102,43.15252,14.372087,13.676952,7,94.808458,0.85333,15.784296,1.50704,7.467071533,9.325504303
516705122,902855.5416,-322663.0346,100.172708,42.538882,1.200488,40.952199,13.515706,13.218903,7,85.829159,0.856812,15.02861,1.502938,7.912567139,9.176647186
516705124,902846.7414,-322683.1418,113.675187,43.34802,1.148373,43.34802,15.046678,12.699309,5,95.945574,0.844033,15.538146,1.548527,7.244003296,8.526649475
516705125,902877.1464,-322671.091,99.963141,41.4285,1.170377,41.4285,14.91317,11.689139,5,78.934298,0.789634,15.111353,1.493144,8.145168304,9.794548035
516705126,902899.0876,-322678.4915,124.002064,45.137417,1.144903,45.137417,15.502776,13.16481,5,106.052117,0.855245,16.162183,1.554889,7.753570557,10.86613846
516705127,902870.6154,-322689.2601,102.548443,41.202002,1.149212,41.202002,14.251613,11.877792,5,86.29469,0.841502,14.780143,1.546219,7.235160828,9.14422226
516705128,902891.8831,-322696.8344,101.04571,40.479513,1.137425,40.479513,13.63712,12.188606,5,89.372242,0.884473,14.382909,1.577238,7.145950317,9.237495422
516705129,902937.5049,-322691.5248,149.702121,53.73245,1.240421,53.73245,20.409963,12.668501,5,102.353806,0.683716,20.51353,1.346042,6.968040466,9.400257111
516705130,902928.273,-322714.5983,153.126243,54.492674,1.243826,54.492674,20.682462,12.405362,5,104.093947,0.679792,20.840088,1.340017,7.305438995,9.497406006
516705131,902923.922,-322733.5069,152.813192,53.93346,1.232322,53.93346,20.361519,12.85468,5,105.956994,0.693376,20.493437,1.36129,7.471393585,9.054740906
516705132,902957.5237,-322740.7236,164.189863,52.420532,1.155513,52.420532,17.594826,13.374503,5,135.350862,0.824356,18.905667,1.529559,7.289684296,9.976348877
516705133,902959.9229,-322720.2172,74.821813,35.929284,1.173224,35.929284,13.022109,10.268886,5,58.648213,0.783838,13.132346,1.486472,5.695766449,9.586864471
516705135,902967.0583,-322704.2756,159.502789,50.699265,1.133872,50.699265,16.961493,15.680021,5,142.980983,0.896417,17.958678,1.587065,5.695766449,9.688308716
516709414,902936.503,-322816.3455,103.952253,41.079786,1.13804,41.079786,14.455716,13.495549,5,91.666256,0.881811,14.596811,1.576319,7.102813721,9.201622009
516709415,902970.5621,-322817.8396,127.965643,45.833152,1.144404,45.833152,12.395695,15.105218,5,109.662096,0.856965,16.378413,1.558691,7.175521851,8.609004974
516709416,902957.8183,-322782.4031,148.366469,52.400587,1.215108,52.400587,12.709054,19.654364,5,106.21555,0.7159,19.855574,1.384428,7.278400421,10.92897797
516709417,902939.1996,-322777.6468,144.960059,52.77552,1.238097,52.77552,12.375078,19.967781,5,99.506625,0.686442,20.119293,1.350506,7.6354599,11.18691254
516709418,902914.4481,-322769.521,294.232515,70.729156,1.164661,70.729156,24.692588,18.108439,5,236.01156,0.802126,25.841644,1.497995,7.467159271,12.02983475
516709419,902902.8033,-322797.4045,144.731755,48.68321,1.142993,48.68321,16.360564,13.832208,5,124.748714,0.861931,17.377905,1.562318,6.286308289,9.797855377
516709420,902884.2006,-322837.8947,130.161136,45.858181,1.135331,45.858181,15.506987,14.212544,5,116.089393,0.89189,16.259689,1.583483,6.59797287,8.699249268
