osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
358771654,716104.7106,-1886.246874,3288.552718,240.224629,1.183209,240.224629,82.231694,50.813966,5,2515.652917,0.764973,88.405405,1.463891,5.949321747,14.70291138
358771655,716143.5955,-1771.02233,2743.657144,221.435535,1.194067,221.351214,78.989164,46.017209,7,2052.229784,0.747991,83.611011,1.413795,11.86383247,27.40328217
358771656,716232.4053,-1740.697118,1690.304635,187.406747,1.287506,187.406747,72.082925,33.919338,5,1073.733962,0.635231,73.31223,1.265584,15.69781685,29.77497864
419326808,716199.0567,-1892.234764,78.792863,35.804381,1.139303,35.804381,8.868582,10.903471,5,69.041708,0.876243,12.732108,1.57336,6.374282837,8.693107605
419326810,716309.7186,-1868.414633,409.170727,108.162997,1.510334,94.34866,33.915503,24.122385,9,273.835158,0.669244,34.432871,1.325758,7.909660339,13.83151627
419326812,716168.7919,-1887.547684,269.493008,69.88775,1.202469,69.88775,15.005389,24.948795,5,197.683787,0.73354,26.057937,1.421735,6.799713135,11.09568214
419326818,716282.5861,-1909.421814,132.380195,47.075521,1.15566,47.075521,10.811156,15.17353,5,109.024482,0.823571,16.972874,1.529823,4.872722626,12.39365196
419326819,716249.1371,-1903.275987,128.835189,45.454499,1.131113,45.454499,13.030608,12.062606,5,116.491581,0.904191,16.051529,1.595827,6.023670197,9.642936707
419326821,716217.4938,-1842.593013,388.384024,82.384574,1.18076,82.384574,28.502834,18.456602,5,298.836692,0.769436,30.272414,1.469159,8.324741364,14.82157707
419326823,716259.256,-1855.568046,384.775412,92.438077,1.331048,92.438077,36.773361,17.47339,5,230.315454,0.598571,36.885715,1.200136,8.264591217,14.41889
419326836,716221.8912,-1894.696826,66.442086,32.856242,1.138525,32.856242,8.177218,9.959248,5,58.441066,0.879579,11.681816,1.574694,6.691577911,9.120010376
419326838,716174.7233,-1839.611754,354.762567,75.375249,1.130333,75.375249,20.253789,19.148584,5,321.471377,0.906159,26.605072,1.597679,8.042789459,14.40493965
419326841,716324.0338,-1917.653528,125.022596,51.728313,1.306714,46.627179,12.473092,15.23029,9,100.825795,0.806461,16.498592,1.52944,5.234630585,13.77811623
419326843,716300.7036,-1914.670782,194.534358,61.475254,1.244941,56.36723,15.227737,17.654511,9,171.067751,0.87937,20.19296,1.558774,4.174240112,14.75426102
419358214,716285.7534,-1729.273907,159.379021,51.515216,1.152568,51.515216,18.208147,18.218148,5,132.590353,0.831918,18.531548,1.537407,17.74373245,28.85361099
651367724,716301.493,-1756.985854,426.868744,88.699436,1.212607,84.125677,27.048982,27.2814,12,349.379232,0.81847,32.76619,1.423005,15.175457,22.02185822
711947836,716161.2322,-1722.510937,415.335061,82.56894,1.144363,82.56894,26.609141,20.853469,5,357.040819,0.859645,29.763178,1.545272,18.50528336,20.36744499
