osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
473569590,1469813.573,1111573.613,579678.2363,7719.282091,2.863715,5334.053073,1723.288547,1763.363406,51,290120.4738,0.500485,2100.931843,0.817837,-1.772149324,64.65910339
512659940,1469891.001,1110837.953,6315.54021,328.052202,1.165961,328.052202,71.301272,109.811607,5,5050.567147,0.799705,120.912737,1.483263,2.736460686,14.38891888
512873891,1469875.944,1110828.209,168.309683,46.202351,1.005903,46.202351,14.685478,14.711149,20,167.261599,0.993773,14.74578,1.985509,3.638577938,12.14178276
512873893,1469879.304,1110851.526,176.969289,47.376929,1.005922,47.376929,15.106909,15.053536,20,175.856873,0.993714,15.120375,1.985507,4.65966177,14.38891888
512873895,1469904.5,1110851.218,145.864482,43.011355,1.0059,43.011355,13.709794,13.628866,20,144.942584,0.99368,13.727196,1.985537,4.772984028,6.593947887
512873896,1469878.381,1110872.98,74.642702,30.767941,1.005892,30.767941,9.786213,9.763256,20,74.1694,0.993659,9.821261,1.985233,6.082242012,12.67092133
512873897,1469893.86,1110871.447,67.650411,29.291314,1.005889,29.291314,9.331225,9.331001,20,67.225661,0.993721,9.348356,1.985569,5.623043537,7.868659496
512873898,1469909.111,1110869.991,73.528178,30.538143,1.005917,30.538143,9.703483,9.764942,20,73.05543,0.993571,9.748167,1.98513,5.063704014,6.414208412
512873899,1469901.448,1110821.346,43.717416,28.673616,1.224903,28.673616,10.479456,5.764185,5,30.715414,0.70259,10.856402,1.374442,4.321221828,7.195067406
512873900,1469902.187,1110826.796,33.33274,26.118015,1.277765,26.118015,9.981663,4.840944,5,21.479435,0.644395,10.168734,1.281308,4.613296509,7.195067406
512873901,1469903.06,1110831.9,32.957032,26.137321,1.285978,26.137321,10.096196,4.978467,5,20.983059,0.636679,10.220753,1.267582,4.642850399,7.195067406
512873902,1469903.822,1110837.063,33.438536,25.94546,1.267314,25.94546,9.833006,4.840683,5,21.891148,0.654668,10.047003,1.298889,4.883282661,7.195067406
512873948,1469911.97,1110955.555,137.506242,47.374243,1.14111,47.374243,15.719353,16.772734,5,119.55505,0.869452,16.91176,1.564795,5.079190254,8.405831337
512873949,1469896.313,1110929.467,219.428253,62.72656,1.196056,62.72656,19.667839,23.284894,5,163.125984,0.743414,23.288222,1.435473,4.91536665,8.282226563
512873951,1469870.311,1110897.141,27.682725,21.084091,1.131871,21.084091,6.816293,6.394709,5,24.972418,0.902094,7.451817,1.593409,6.697020531,7.373174667
512873952,1469880.207,1110895.534,27.893163,21.558808,1.152981,21.558808,7.054333,5.250549,5,23.170658,0.830693,7.757974,1.536334,5.583803177,7.235302448
512873953,1469918.341,1110892.026,23.342608,19.902422,1.16353,19.902422,6.761328,4.85577,5,18.777951,0.80445,7.220591,1.510035,3.934603691,6.414208412
512873954,1469911.677,1110892.201,16.920014,17.312353,1.188782,17.312353,3.868465,6.081467,5,12.780142,0.755327,6.39686,1.451171,4.161093235,6.414208412
