osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
505880754,609459.0633,466466.9417,157138.1039,2058.829224,1.466986,1789.620868,690.941401,478.730878,26,122389.3919,0.778865,696.517245,1.284381,20.31826782,40.24199295
512144218,609355.4141,466565.2498,479.709181,107.448937,1.385669,107.448937,43.364057,15.647057,5,268.713409,0.560159,43.790329,1.128745,30.5245285,36.27705002
512144219,609347.2138,466516.7358,498.957938,107.465627,1.358889,107.465627,43.173121,18.452069,5,288.425359,0.578055,43.364834,1.162464,31.15230942,36.77490616
512144220,609401.1428,466507.6952,486.731917,108.529092,1.389465,108.529092,44.278842,18.932035,5,271.419297,0.557636,44.29396,1.12405,29.5498333,36.07112885
512144240,609229.7848,466464.5703,126.996829,46.000726,1.152961,46.000726,14.180017,9.808879,5,105.505417,0.830772,16.547482,1.536914,33.50514603,36.99600983
512144241,609255.5934,466458.6302,128.635117,46.50626,1.158185,46.50626,11.725322,15.704002,5,105.111075,0.817126,16.799784,1.523566,33.87818146,36.800457
512144242,609214.068,466428.984,574.003619,109.966481,1.296431,109.966481,42.839988,20.080953,5,360.06368,0.627285,43.389078,1.246126,32.07668304,38.9417305
512144243,609254.7254,466421.226,237.844876,73.028787,1.337499,64.360239,20.749716,17.475518,13,198.19693,0.833303,23.489373,1.481701,32.44375992,36.82148361
512144244,609284.267,466456.0791,274.310335,79.810731,1.361089,72.397393,17.291776,28.247836,13,196.89415,0.717779,28.301405,1.320682,32.44314194,37.61526108
512144245,609312.9542,466449.5416,140.853654,48.290287,1.14927,48.290287,12.23366,16.107096,5,118.595178,0.841974,17.54854,1.526259,31.30247307,35.07285309
512144246,609334.8704,466446.4216,138.294227,50.578428,1.214814,48.777972,11.461592,17.555623,7,112.176277,0.811142,18.723125,1.417453,29.72698784,33.42133331
512144247,609304.3871,466412.2652,108.434319,41.996539,1.139139,41.996539,10.320238,12.70327,5,95.089617,0.876933,14.938224,1.573148,30.31045151,34.07226563
512144248,609330.5678,466410.7111,148.706241,49.738366,1.152055,49.738366,12.139076,16.199238,5,123.911221,0.833262,17.880794,1.539086,28.84508324,33.30704498
512144249,609355.7538,466406.2764,147.347807,49.429664,1.150171,49.429664,12.456921,16.196661,5,123.57292,0.838648,17.740478,1.544157,27.20982361,30.55241203
512144250,609380.3619,466402.2346,134.414128,47.979717,1.168912,47.979717,11.401341,16.386816,5,106.548517,0.792688,17.471825,1.497508,26.36042213,29.46686554
512144251,609362.6913,466441.3728,127.724845,48.805746,1.219775,45.968263,11.801856,15.322954,9,108.011544,0.845658,16.418009,1.553468,28.41127586,33.44207001
512144252,609399.752,466437.0735,385.290002,90.906906,1.308126,90.906906,35.456046,16.090348,5,237.75498,0.617081,35.905373,1.233728,27.28277206,30.30016327
512144253,609409.0393,466396.494,205.724279,66.554056,1.310624,59.212881,19.29788,15.855859,13,175.498262,0.853075,21.429848,1.510458,25.95634079,31.11373138
512144254,609401.6922,466475.336,458.892364,102.791503,1.35534,102.791503,41.186476,17.449922,5,266.41923,0.58057,41.41886,1.167192,28.90957069,33.47647858
512144255,609352.9369,466485.4049,432.234932,96.100749,1.305609,96.100749,37.744646,18.977038,5,267.646851,0.619216,37.915665,1.237446,30.28489304,33.37453842
512144256,609290.0522,466493.3395,93.235081,41.125624,1.20301,38.403397,11.867307,11.773361,9,84.528732,0.906619,13.344196,1.632985,33.97179413,35.72299957
512144257,609314.3273,466488.2685,128.72508,46.013172,1.145505,46.013172,12.093276,15.043269,5,109.829753,0.853212,16.452608,1.556259,32.56332016,36.29254913
512144258,609263.7062,466500.6224,129.536922,46.060887,1.143094,46.060887,12.067003,14.844645,5,111.602145,0.861547,16.436662,1.562673,34.53397369,37.10347366
512144259,609211.9527,466500.2712,124.535471,48.580245,1.229588,45.5468,11.697843,15.276191,9,104.514255,0.839233,16.227087,1.551998,33.55235672,37.67570114
512144260,609240.064,466499.9639,91.251751,41.012492,1.212668,38.101512,11.067251,10.909044,9,82.5828,0.905,13.255909,1.626283,34.00014496,36.41014862
512144261,609188.223,466489.038,138.241739,50.579581,1.215072,47.749723,13.475509,16.457484,9,117.112257,0.847156,17.084499,1.553111,32.3178215,35.63539886
512144263,609163.1126,466469.8876,207.235569,66.106421,1.297054,58.966474,20.601764,19.718784,13,174.840245,0.843679,21.375494,1.519851,31.97559929,35.46817017
512144264,609151.5938,466444.9423,175.086502,61.656947,1.31614,54.865371,15.123402,18.711577,13,145.865488,0.833105,20.011673,1.492203,31.29001808,35.39308548
512144266,609211.6905,466379.756,19.268228,17.570519,1.130603,17.570519,5.151288,5.174928,5,17.463597,0.906342,6.301729,1.571977,28.69250107,33.64243317
512144267,609237.1846,466378.4319,25.465148,20.185802,1.129846,20.185802,5.350246,5.281856,5,23.105939,0.907355,7.121807,1.599072,29.02377319,31.81126976
512144268,609215.4205,466393.2819,270.654313,74.885164,1.285685,69.849554,24.79136,14.744998,13,200.123389,0.739406,26.147928,1.419892,29.78969765,35.38139343
512156412,609128.3087,466509.3127,58.038893,34.326656,1.272678,34.326656,11.669542,12.578597,5,37.727331,0.650035,13.547523,1.269068,31.32483292,32.63776016
905192470,609407.2785,466556.6204,423.804552,98.991302,1.35819,98.991302,39.904063,17.730913,5,245.368193,0.578965,40.025919,1.160718,30.06903458,31.98486328
905192474,609335.5637,466370.9443,425.965472,104.117947,1.424901,104.117947,43.013096,17.09022,5,228.422054,0.536245,43.004907,1.083064,25.45298576,29.88331795
905192475,609230.6814,466537.9144,472.433857,102.343853,1.329957,102.343853,39.676267,13.10608,5,283.386715,0.599844,41.060078,1.194637,33.00498962,35.84773254
