osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
508211994,1108601.33,737310.3163,110.618132,42.48113,1.140852,42.48113,14.239256,15.114501,5,96.234338,0.869969,15.129804,1.56879,3.818288803,7.288104057
508211997,1108581.072,737335.0763,97.182044,39.454371,1.130443,39.454371,13.591055,13.491534,5,88.089536,0.906438,13.951822,1.594583,4.815069199,7.740292549
508211998,1108562.376,737345.4252,93.332641,38.954874,1.138915,38.954874,13.876446,12.936434,5,82.030094,0.8789,13.923184,1.565897,5.731891632,7.836476326
508212000,1108542.395,737354.6903,123.541922,45.057802,1.14501,45.057802,14.638551,16.126328,5,105.723017,0.855766,16.171971,1.551062,6.124845505,8.606716156
508212002,1108524.068,737365.3099,77.67922,35.343323,1.132665,35.343323,11.895439,12.264001,5,69.92211,0.900139,12.533997,1.586894,6.849323273,8.711042404
508212148,1108601.105,737576.0836,154.461484,49.858794,1.133126,49.858794,14.922517,13.032154,5,138.837496,0.898849,17.805314,1.575236,10.74226665,14.9515934
508212149,1108623.91,737573.7477,133.264671,46.603402,1.140267,46.603402,14.826426,11.800311,5,116.435995,0.87372,16.852898,1.545852,10.30863857,13.90402126
508212150,1108645.877,737570.4125,129.633012,46.029954,1.141903,46.029954,13.696045,11.233316,5,112.481911,0.867695,16.718453,1.536904,9.802912712,13.90402126
508212151,1108669.184,737570.9245,155.797516,54.250035,1.227626,51.360985,14.884666,13.453319,7,133.740221,0.858423,19.16343,1.469914,9.179424286,13.01916027
508212152,1108704.217,737564.0099,213.307763,64.413737,1.245723,59.881274,17.971536,16.026907,9,181.134191,0.849168,22.737427,1.449596,7.876583099,13.10279274
508212153,1108655.795,737532.2265,403.280805,89.617279,1.260476,89.617279,33.411356,15.572019,5,266.815644,0.661613,34.57977,1.31059,7.288872719,13.51974964
508212154,1108586.496,737541.1673,461.536648,101.639978,1.336312,101.639978,39.934282,15.463781,5,274.416829,0.594572,40.645933,1.192809,9.310852051,15.68004036
508212155,1108541.057,737544.8052,142.69042,48.155422,1.13866,48.155422,11.908715,14.813033,5,125.57026,0.880019,17.307802,1.557545,10.69216347,14.74488068
508432204,1108492.733,737507.4615,154.607509,51.314201,1.165651,51.314201,16.253945,18.667467,5,123.640112,0.799703,18.641456,1.505291,11.03905964,14.70729065
508432206,1108515.702,737494.0228,147.093158,49.6608,1.156549,49.6608,16.03212,17.931667,5,120.799103,0.821242,17.912531,1.528003,10.37448406,13.7879324
508432210,1108474.875,737468.5557,126.781751,45.713402,1.146731,45.713402,14.966098,16.3364,5,107.660712,0.849181,16.360371,1.553175,10.75917149,14.27991104
508432212,1108497.263,737457.6331,118.544461,45.048462,1.168654,45.048462,14.597233,16.429022,5,94.030582,0.793209,16.40397,1.497879,10.15044498,13.74402142
508432213,1108538.5,737481.3489,145.555031,50.745398,1.188036,50.745398,16.338137,18.195083,5,110.410249,0.758546,19.24569,1.414703,9.461511612,13.11832237
508432214,1108501.641,737416.2882,90.308727,38.181831,1.13485,38.181831,13.16196,12.316326,5,80.685257,0.893438,13.527191,1.585413,8.084158897,10.53108978
508432215,1108521.241,737405.449,107.296869,41.63595,1.135328,41.63595,14.461536,13.564804,5,95.69897,0.891908,14.758874,1.583891,7.380598068,9.736887932
508432216,1108517.625,737445.7065,134.7221,46.9459,1.142417,46.9459,15.110213,16.697633,5,116.46999,0.86452,16.832091,1.556204,9.158368111,12.20385265
508432217,1108559.549,737469.5868,161.249691,52.543181,1.168728,52.543181,16.31991,19.142543,5,127.877647,0.793041,19.133447,1.497757,8.604607582,11.95575237
508432218,1108539.001,737435.2589,131.536919,47.17553,1.161821,47.17553,14.816901,17.076981,5,106.331287,0.808376,17.092202,1.514296,8.038183212,12.07300282
508432219,1108544.409,737394.5254,95.055099,42.224093,1.223261,40.196028,14.243535,11.371301,7,80.084271,0.842504,14.916358,1.475061,6.562342644,9.139727592
508432220,1108558.397,737425.6051,144.018605,49.630719,1.168121,49.630719,15.499706,18.07619,5,114.399935,0.794341,18.066927,1.499029,7.243618965,11.53069687
508432221,1108580.02,737457.6863,169.147692,54.510036,1.183831,54.510036,17.166431,20.098349,5,129.21449,0.763915,20.066767,1.462651,7.572178841,10.93341827
508432222,1108601.763,737444.8879,171.167246,54.227921,1.170736,54.227921,16.577255,19.77134,5,135.017933,0.788807,19.772902,1.493224,7.0617733,9.896342278
508432223,1108579.707,737414.8131,112.695299,43.235446,1.150359,43.235446,13.423642,15.349768,5,94.461353,0.838201,15.524068,1.543236,6.726917267,10.0320549
508432224,1108623.822,737433.1618,177.793917,54.802364,1.16088,54.802364,16.935448,19.774826,5,144.116348,0.810581,19.836466,1.516978,6.512672424,9.178045273
508432225,1108565.4,737384.8036,130.785092,45.749144,1.129927,45.749144,15.261955,15.39238,5,118.642068,0.907153,16.143878,1.598661,6.0662117,8.743559837
508432226,1108601.001,737404.0208,164.376216,52.081774,1.147394,52.081774,16.435164,18.470698,5,139.252186,0.847155,18.65029,1.551383,5.925552368,9.500817299
508432227,1108584.14,737374.578,96.388167,39.334939,1.131652,39.334939,13.541785,13.072574,5,87.006801,0.902671,13.89872,1.594124,5.433158875,7.923368454
508432228,1108606.858,737362.0427,95.151617,39.053019,1.130819,39.053019,13.616029,13.359736,5,86.10449,0.904919,13.788228,1.596558,4.440429688,6.946250916
508432229,1108621.723,737392.3161,135.33538,47.127794,1.144242,47.127794,15.119391,16.681841,5,116.052115,0.857515,16.834225,1.559544,5.409091949,9.259684563
508432230,1108646.229,737417.338,197.256027,56.20196,1.130271,56.20196,19.156824,19.415343,5,178.769402,0.906281,19.835188,1.597953,5.204187393,8.484934807
