osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
514780795,-172390.2948,308632.6321,623735.0315,5400.467363,1.931424,3732.546114,1146.515963,1143.054067,57,429223.0863,0.68815,1412.17476,1.262108,0.550693512,50.6283226
515323496,-172299.913,308443.3876,154.776725,50.33756,1.142841,50.33756,11.175594,14.8318,5,133.490836,0.862474,17.953759,1.563805,24.46242905,28.77705765
515323507,-172289.6875,308492.0992,115.931596,43.375953,1.137875,43.375953,13.387573,11.198097,5,102.312664,0.882526,15.410834,1.576739,23.10819435,25.36914253
515323508,-172295.6006,308510.2984,95.106022,39.061685,1.131341,39.061685,10.699432,9.735495,5,85.932081,0.90354,13.79497,1.595395,22.53858757,24.43774033
515323509,-172296.2944,308531.2484,115.367885,45.826227,1.205086,43.686512,11.594355,11.539938,7,100.482401,0.870974,16.164415,1.499573,21.64723778,24.23387146
515323510,-172295.5026,308573.816,111.099263,45.312394,1.214249,42.942387,11.412261,11.642305,7,95.945888,0.863605,15.979408,1.488607,20.67279625,22.95808029
515323511,-172299.2901,308544.1096,27.404853,20.970988,1.131492,20.970988,5.78877,5.252611,5,24.750601,0.903147,7.408488,1.594664,21.22227669,23.84488678
515323512,-172285.9564,308566.4385,25.789558,20.641943,1.148088,20.641943,4.84606,6.553533,5,21.820268,0.846089,7.454841,1.537335,21.64381981,23.56869888
515323513,-172295.1638,308595.0691,127.270511,47.579861,1.191258,45.434622,11.95756,11.963366,7,113.002734,0.887894,16.782911,1.516986,19.84685707,22.41668129
515323514,-172294.71,308615.6897,103.381292,43.518876,1.208935,41.272519,10.471646,11.527059,7,89.904992,0.869645,15.365004,1.49339,19.355793,21.68890572
515323515,-172293.1925,308637.3919,93.296779,38.639203,1.129903,38.639203,9.892653,9.700149,5,84.661514,0.907443,13.699099,1.591206,18.88432693,20.76821136
515323517,-172288.5513,308685.9648,158.592524,51.435143,1.153626,51.435143,16.006093,11.112026,5,131.468934,0.828973,18.508984,1.535479,17.70589066,22.34086227
515323520,-172293.0149,308658.6313,113.852474,45.41286,1.202137,43.483019,12.065364,10.754296,7,98.295041,0.863354,16.042236,1.501037,18.46098518,20.19133186
515327260,-172393.0593,308695.7119,149.516778,49.583516,1.145352,49.583516,14.505069,10.811864,5,127.849774,0.855086,18.042496,1.529443,13.93034363,17.81093216
515327261,-172359.4272,308698.4299,179.601375,54.488187,1.148402,54.488187,16.10926,11.293044,5,151.584142,0.844003,19.544337,1.547458,14.93506622,18.59472466
515327262,-172393.8865,308671.536,147.895476,48.962354,1.137185,48.962354,13.832603,11.329627,5,131.041269,0.88604,17.507359,1.567624,14.76974106,17.89740944
515327263,-172361.0112,308677.1539,100.203206,40.376066,1.139278,40.376066,11.614169,9.086153,5,87.817514,0.876394,14.35705,1.573478,14.24179459,20.20556831
515327264,-172327.4499,308684.4282,91.730601,38.353389,1.131079,38.353389,10.515189,9.650378,5,82.947963,0.904256,13.545298,1.595709,16.75167274,18.88212967
515327265,-172395.3288,308652.2586,113.503966,42.669418,1.131248,42.669418,12.10341,11.54932,5,102.637189,0.904261,15.254217,1.576161,15.82305908,18.07357025
515327266,-172357.8677,308654.7527,258.571165,64.398363,1.131179,64.398363,15.864814,17.393996,5,233.729827,0.903928,22.738583,1.595922,14.50856972,20.91894722
