osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
"516359531",1869798.39542215,817345.44711301,5109.839358,294.012555,1.161739,294.012555,67.514300,93.442189,6.000000,4144.238251,0.811031,108.892445,1.481463,"5.91148567199707","18.34271812438965"
"516426726",1869803.83992456,816990.037831686,586449.595183,5631.045221,2.076922,4202.172434,1350.845943,1487.327845,57.000000,250482.656739,0.427117,1726.689529,1.000890,"1.9735660552978516","53.5032958984375"
"516426729",1869811.49995835,817369.702939753,283.785729,59.992024,1.005877,59.992024,19.069277,19.127585,20.000000,282.016140,0.993764,19.144503,1.985803,"9.924254417419434","18.34271812438965"
"516426730",1869808.63691333,817341.171411113,264.085295,57.873344,1.005896,57.873344,18.379173,18.462782,20.000000,262.409691,0.993655,18.469019,1.985699,"10.245243072509766","17.836612701416016"
"516426731",1869784.19888322,817353.552518057,103.965921,36.312848,1.005915,36.312848,11.602256,11.513202,20.000000,103.293480,0.993532,11.590305,1.985344,"8.118715286254883","11.734060287475586"
"516426732",1869800.13248645,817314.825638044,110.977863,37.516114,1.005880,37.516114,11.962878,11.952884,20.000000,110.285924,0.993765,11.974732,1.985352,"9.703296661376953","12.423990249633789"
"516426733",1869787.14761373,817376.405048706,98.204410,35.291219,1.005883,35.291219,11.224367,11.217618,20.000000,97.592779,0.993772,11.262130,1.985775,"7.804972171783447","15.02973747253418"
"516426734",1869772.83427576,817314.08026779,43.297531,30.498928,1.309180,30.498928,5.181234,12.128670,5.000000,26.730521,0.617368,12.302638,1.207031,"8.32394790649414","11.579900741577148"
"516426735",1869782.58765454,817312.675949532,41.143153,30.800763,1.356311,30.800763,5.022651,12.310251,5.000000,23.859564,0.579916,12.418460,1.165644,"9.455949783325195","11.983793258666992"
"516426736",1869777.7484271,817313.503102432,39.400538,29.512422,1.328007,29.512422,5.110204,11.642336,5.000000,23.677414,0.600941,11.761793,1.204377,"8.79229736328125","11.85163402557373"
"516439609",1869852.61871507,817474.607323093,836.407838,141.287873,1.379883,125.676955,37.194761,44.667874,13.000000,602.373995,0.720192,47.712938,1.367911,"6.497935771942139","16.66647720336914"
"516439611",1869913.96074419,817411.919951962,207.515318,62.323773,1.222011,62.323773,14.018096,22.431365,5.000000,146.863484,0.707724,24.017929,1.353551,"13.932570457458496","17.7818546295166"
"516439612",1869814.71929467,817444.327424658,98.606255,41.057561,1.167851,41.057561,12.059602,15.014212,5.000000,78.406632,0.795149,15.092796,1.484799,"5.334660053253174","8.90162467956543"
"573637189",1869870.97664845,817457.552661696,821.125862,136.446777,1.344946,127.854926,35.325007,45.678948,9.000000,634.149256,0.772292,50.777200,1.273565,"12.309537887573242","16.66647720336914"
"796306335",1869783.99787135,817333.763322781,298.112840,61.487779,1.005877,61.487779,19.552743,19.551200,20.000000,296.238115,0.993711,19.625455,1.985435,"8.34337043762207","13.314098358154297"
