osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
"516449269",1870282.99402688,817207.603656907,150.495058,49.763677,1.145771,49.763677,17.532824,17.587162,5.000000,128.420890,0.853323,17.926755,1.544346,"37.011409759521484","40.85465621948242"
"516449270",1870303.55288875,817225.811726069,109.901929,41.937129,1.129906,41.937129,14.740700,14.557456,5.000000,99.713314,0.907294,14.866297,1.591420,"38.618003845214844","41.3651123046875"
"516449271",1870319.78766101,817246.226514045,102.121740,40.928100,1.143955,40.928100,14.321627,14.349650,5.000000,87.877153,0.860514,14.877372,1.532914,"39.94129943847656","42.45484161376953"
"516449272",1870335.15316457,817264.974028176,91.467648,38.635890,1.141047,38.635890,13.924904,13.326788,5.000000,79.597077,0.870221,13.921251,1.550389,"41.54745864868164","43.487640380859375"
"516449273",1870361.86784351,817285.321888835,350.131131,81.478852,1.229917,81.478852,31.584807,22.974604,5.000000,244.157071,0.697330,31.530807,1.339261,"42.24884033203125","46.244789123535156"
"516450298",1870244.34883727,817274.036794494,331.751968,81.719072,1.267252,77.679572,23.776052,29.365132,7.000000,252.057390,0.759777,29.295572,1.403104,"35.92012023925781","40.43065643310547"
"516450299",1870227.65498418,817298.516088755,157.303808,50.302564,1.132836,50.302564,17.674813,17.325691,5.000000,141.493722,0.899493,17.841252,1.586461,"34.783260345458984","37.90216827392578"
"516450300",1870261.38437798,817306.186509929,199.309729,58.889542,1.178204,58.889542,19.740931,21.397523,5.000000,154.413375,0.774741,21.653018,1.471400,"36.97874069213867","41.187984466552734"
"516450301",1870262.25579515,817247.513956238,106.904030,41.656527,1.137974,41.656527,14.299498,14.829100,5.000000,94.292378,0.882028,14.798208,1.576787,"36.574344635009766","40.43065643310547"
"516450302",1870285.1040315,817259.299551732,116.696755,43.608659,1.140223,43.608659,15.384433,15.446678,5.000000,101.875066,0.872990,15.527784,1.570019,"38.20405197143555","40.18425750732422"
"516450303",1870301.06161294,817277.390754904,121.630017,44.495667,1.139577,44.495667,15.118650,16.219809,5.000000,106.820974,0.878245,16.189830,1.537316,"39.04393768310547","41.15061950683594"
"516450304",1870315.60858745,817297.110763568,93.912487,39.161388,1.141413,39.161388,14.298698,13.351262,5.000000,81.857921,0.871640,14.317018,1.527546,"39.90871047973633","42.09190368652344"
"516482326",1870315.39547314,817483.334064765,216.000138,69.921032,1.343777,61.454724,19.911599,20.531437,13.000000,175.316044,0.811648,22.121221,1.499350,"38.15381622314453","43.79006576538086"
"516482327",1870263.48343512,817473.158805106,257.358297,69.020418,1.215220,69.020418,25.939758,20.989225,5.000000,184.095401,0.715327,25.946092,1.395347,"36.074771881103516","43.92204666137695"
