osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,"_min:double precision(0,0)","_max:double precision(0,0)"
"509635998",1056108.56074192,1130982.82857532,11509.462112,427.035603,1.124302,427.035603,133.717174,134.522548,7.000000,10452.100491,0.908131,151.143214,1.601858,"54.03822326660156","69.03988647460938"
"509636003",1056129.20243103,1130962.15409034,327.153881,64.414100,1.005892,64.414100,20.496008,20.555450,20.000000,325.108145,0.993747,20.550629,1.986259,"57.0120964050293","66.01115417480469"
"509636004",1056140.211786,1130995.88362269,331.942509,64.882595,1.005873,64.882595,20.638257,20.671447,20.000000,329.874416,0.993770,20.700622,1.986246,"59.235687255859375","68.87158966064453"
"509636005",1056090.60333136,1131001.64579705,110.799218,37.486508,1.005896,37.486508,11.885366,11.950056,20.000000,110.094633,0.993641,11.963000,1.985699,"57.381832122802734","60.99464797973633"
"509636006",1056110.3478226,1131009.33415426,155.537261,44.413317,1.005871,44.413317,14.145066,14.136938,21.000000,154.569769,0.993780,14.170675,1.986149,"59.08243942260742","66.29135131835938"
"509636007",1056093.83395505,1131016.84011861,73.766599,30.586416,1.005878,30.586416,9.717976,9.740709,20.000000,73.305034,0.993743,9.762739,1.985378,"57.047828674316406","61.12832260131836"
"509636008",1056109.88530456,1130978.25775925,40.731764,29.007644,1.283785,29.007644,11.552715,6.708316,5.000000,26.076646,0.640204,11.533058,1.248841,"58.47152328491211","59.468692779541016"
"509636009",1056112.52776342,1130982.94699545,36.015445,28.719169,1.351680,28.719169,11.755820,6.340767,5.000000,21.043973,0.584304,11.728972,1.154701,"58.47152328491211","60.95212173461914"
"509636011",1056114.51374406,1130987.8198478,39.203789,30.350066,1.369122,30.350066,12.738422,6.562091,5.000000,22.572809,0.575781,12.717049,1.111124,"58.51143264770508","63.58931350708008"
"509636013",1056115.63147904,1130992.91608559,39.569465,29.969963,1.345713,29.969963,12.222330,6.471793,5.000000,23.308908,0.589063,12.191312,1.164434,"58.655120849609375","65.074951171875"
